"Monthly Nuclear Utility Generation by State and Reactor,  2007"															
January  through December 2007															
	Net														
Vogtle 2	"1,127"		"873,716"	"778,759"	"71,355"	"-10,679"	"729,610"	"823,748"	"847,961"	"842,011"	"821,853"	"856,773"	"837,972"	"863,528"	"8,336,607"
Edwin I. Hatch 1	876		"519,772"	"505,620"	"663,978"	"641,754"	"650,424"	"633,369"	"654,376"	"641,082"	"632,985"	"657,635"	"636,472"	"661,610"	"7,499,077"
Edwin I. Hatch 2	883		"663,938"	"94,546"	"247,265"	"642,967"	"661,147"	"629,462"	"654,785"	"589,388"	"629,829"	"655,782"	"619,470"	"660,449"	"6,749,028"
ILLINOIS	"11,379"		"8,607,602"	"7,606,105"	"8,017,388"	"7,389,973"	"7,862,510"	"8,076,611"	"8,492,263"	"8,376,514"	"8,084,333"	"7,029,437"	"7,739,593"	"8,446,516"	"95,728,845"
Clinton	"1,043"		"796,303"	"719,640"	"781,718"	"777,209"	"794,186"	"705,543"	"791,374"	"787,282"	"762,709"	"795,073"	"773,891"	"765,508"	"9,250,436"
Dresden 2	867		"644,897"	"583,862"	"645,540"	"626,149"	"554,391"	"623,644"	"646,303"	"638,227"	"626,450"	"582,052"	"155,409"	"645,771"	"6,972,695"
Dresden 3	867		"649,390"	"579,683"	"648,033"	"627,386"	"645,334"	"625,293"	"645,613"	"643,471"	"576,353"	"646,057"	"628,582"	"642,891"	"7,558,086"
Quad Cities 1	867		"649,380"	"585,796"	"624,761"	"529,505"	"191,677"	"624,249"	"645,875"	"645,855"	"532,940"	"646,808"	"627,190"	"647,004"	"6,951,040"
Quad Cities 2	867		"644,687"	"562,562"	"620,661"	"593,317"	"640,515"	"622,918"	"643,777"	"644,056"	"622,872"	"641,233"	"625,075"	"644,163"	"7,505,836"
Braidwood 1	"1,178"		"898,548"	"810,477"	"893,089"	"865,887"	"887,794"	"783,062"	"875,720"	"872,494"	"837,589"	"88,342"	"815,649"	"898,033"	"9,526,684"
Braidwood 2	"1,152"		"877,773"	"793,015"	"873,736"	"848,239"	"860,275"	"830,601"	"855,580"	"767,138"	"831,839"	"871,847"	"847,012"	"874,110"	"10,131,165"
Byron 1	"1,164"		"890,394"	"803,341"	"881,896"	"857,682"	"878,538"	"847,411"	"874,591"	"870,117"	"846,823"	"536,772"	"849,456"	"887,143"	"10,024,164"
Byron 2	"1,136"		"866,928"	"781,840"	"835,334"	"12,871"	"725,328"	"829,980"	"855,869"	"855,635"	"833,558"	"531,639"	"831,330"	"868,291"	"8,828,603"
LaSalle County 1	"1,118"		"849,445"	"766,352"	"852,222"	"823,731"	"835,518"	"770,036"	"829,252"	"824,775"	"803,796"	"837,486"	"754,294"	"717,720"	"9,664,627"
LaSalle County 2	"1,120"		"839,857"	"619,537"	"360,398"	"827,997"	"848,954"	"813,874"	"828,309"	"827,464"	"809,404"	"852,128"	"831,705"	"855,882"	"9,315,509"
IOWA	580		"447,618"	"39,080"	"112,431"	"389,138"	"450,516"	"424,532"	"446,502"	"442,377"	"429,795"	"445,362"	"437,740"	"453,784"	"4,518,875"
Duane Arnold	580		"447,618"	"39,080"	"112,431"	"389,138"	"450,516"	"424,532"	"446,502"	"442,377"	"429,795"	"445,362"	"437,740"	"453,784"	"4,518,875"
KANSAS	"1,166"		"887,999"	"801,514"	"881,725"	"858,366"	"879,108"	"847,151"	"870,017"	"866,697"	"848,194"	"882,895"	"859,137"	"886,333"	"10,369,136"
Wolf Creek 1	"1,166"		"887,999"	"801,514"	"881,725"	"858,366"	"879,108"	"847,151"	"870,017"	"866,697"	"848,194"	"882,895"	"859,137"	"886,333"	"10,369,136"
LOUISIANA	"2,127"		"1,598,985"	"1,451,680"	"1,585,748"	"1,399,886"	"1,295,234"	"1,272,937"	"1,596,295"	"1,582,417"	"1,441,121"	"1,041,406"	"1,278,378"	"1,533,485"	"17,077,572"
Waterford 3	"1,157"		"873,838"	"790,494"	"874,510"	"850,120"	"876,268"	"846,647"	"873,150"	"865,538"	"842,467"	"461,856"	"855,618"	"882,497"	"9,893,003"
River Bend 1	970		"725,147"	"661,186"	"711,238"	"549,766"	"418,966"	"426,290"	"723,145"	"716,879"	"598,654"	"579,550"	"422,760"	"650,988"	"7,184,569"
MARYLAND	"1,735"		"1,297,997"	"1,086,076"	"661,313"	"1,182,021"	"1,303,229"	"1,241,232"	"1,266,519"	"1,251,396"	"1,223,218"	"1,264,543"	"1,262,781"	"1,312,867"	"14,353,192"
Calvert Cliffs 1	873		"645,996"	"586,474"	"661,313"	"643,783"	"649,923"	"625,294"	"637,887"	"631,196"	"614,691"	"636,405"	"637,788"	"661,483"	"7,632,233"
Calvert Cliffs 2	862		"652,001"	"499,602"	0	"538,238"	"653,306"	"615,938"	"628,632"	"620,200"	"608,527"	"628,138"	"624,993"	"651,384"	"6,720,959"
MASSACHUSETTS	685		"496,378"	"434,146"	"382,851"	"73,456"	"345,315"	"491,401"	"443,982"	"500,238"	"487,024"	"503,198"	"494,987"	"466,813"	"5,119,789"
Pilgrim 1	685		"496,378"	"434,146"	"382,851"	"73,456"	"345,315"	"491,401"	"443,982"	"500,238"	"487,024"	"503,198"	"494,987"	"466,813"	"5,119,789"
MICHIGAN	"3,969"		"3,079,766"	"2,736,827"	"2,956,249"	"2,959,442"	"2,890,849"	"2,880,738"	"2,938,022"	"2,895,736"	"1,954,390"	"894,852"	"2,252,283"	"3,077,799"	"31,516,953"
Palisades	778		"603,143"	"497,774"	"485,071"	"583,991"	"465,196"	"569,217"	"585,433"	"582,322"	"149,115"	"118,585"	"581,425"	"604,743"	"5,826,015"
Fermi 2	"1,122"		"834,917"	"758,801"	"833,841"	"803,087"	"824,781"	"787,187"	"809,717"	"808,869"	"733,362"	"-4,585"	"295,391"	"828,414"	"8,313,782"
D.C. Cook 1	"1,009"		"811,718"	"732,225"	"812,628"	"779,810"	"786,252"	"748,574"	"754,048"	"715,803"	"746,230"	"780,852"	"774,109"	"810,431"	"9,252,680"
D.C. Cook 2	"1,060"		"829,988"	"748,027"	"824,709"	"792,554"	"814,620"	"775,760"	"788,824"	"788,742"	"325,683"	0	"601,358"	"834,211"	"8,124,476"
MINNESOTA	"1,668"		"1,043,767"	"1,123,584"	"850,937"	"694,244"	"1,014,814"	"1,160,498"	"1,200,326"	"1,205,302"	"1,163,256"	"1,254,996"	"1,195,734"	"1,195,542"	"13,103,000"
Monticello	572		"232,813"	"391,535"	"173,046"	"6,240"	"420,460"	"414,784"	"424,641"	"425,406"	"420,682"	"439,692"	"407,935"	"435,035"	"4,192,269"
Prairie Island 1	551		"407,570"	"367,936"	"406,143"	"355,186"	"205,372"	"373,571"	"389,599"	"391,511"	"382,919"	"421,936"	"395,971"	"356,378"	"4,454,092"
Prairie Island 2	545		"403,384"	"364,113"	"271,748"	"332,818"	"388,982"	"372,143"	"386,086"	"388,385"	"359,655"	"393,368"	"391,828"	"404,129"	"4,456,639"
MISSISSIPPI	"1,268"		"949,348"	"853,823"	"470,576"	"478,499"	"740,277"	"908,575"	"945,593"	"770,366"	"434,552"	"946,499"	"916,109"	"944,567"	"9,358,784"
Grand Gulf 1	"1,268"		"949,348"	"853,823"	"470,576"	"478,499"	"740,277"	"908,575"	"945,593"	"770,366"	"434,552"	"946,499"	"916,109"	"944,567"	"9,358,784"
MISSOURI	"1,190"		"921,372"	"832,148"	"773,355"	"17,380"	"592,863"	"866,741"	"894,646"	"888,978"	"869,464"	"906,068"	"888,687"	"920,253"	"9,371,955"
Callaway	"1,190"		"921,372"	"832,148"	"773,355"	"17,380"	"592,863"	"866,741"	"894,646"	"888,978"	"869,464"	"906,068"	"888,687"	"920,253"	"9,371,955"
NEBRASKA	"1,240"		"930,161"	"870,804"	"957,288"	"924,616"	"858,650"	"908,209"	"922,497"	"917,848"	"912,820"	"953,233"	"922,490"	"962,916"	"11,041,532"
Fort Calhoun	482		"378,986"	"342,389"	"375,428"	"363,640"	"360,655"	"354,213"	"360,108"	"361,302"	"356,631"	"371,973"	"366,355"	"378,604"	"4,370,284"
Cooper	758		"551,175"	"528,415"	"581,860"	"560,976"	"497,995"	"553,996"	"562,389"	"556,546"	"556,189"	"581,260"	"556,135"	"584,312"	"6,671,248"
NEW HAMPSHIRE	"1,245"		"877,980"	"836,094"	"871,034"	"856,511"	"927,331"	"897,115"	"926,577"	"925,890"	"896,620"	"925,105"	"897,572"	"926,055"	"10,763,884"
Seabrook 1	"1,245"		"877,980"	"836,094"	"871,034"	"856,511"	"927,331"	"897,115"	"926,577"	"925,890"	"896,620"	"925,105"	"897,572"	"926,055"	"10,763,884"
NEW JERSEY	"3,984"		"2,884,456"	"2,720,556"	"2,791,215"	"2,130,959"	"2,525,661"	"2,772,273"	"2,798,470"	"2,863,045"	"2,805,874"	"2,436,747"	"2,450,644"	"2,830,476"	"32,010,376"
Oyster Creek 1	619		"470,588"	"426,143"	"408,508"	"411,225"	"402,088"	"441,324"	"322,411"	"441,765"	"437,113"	"461,624"	"455,744"	"399,399"	"5,077,932"
Salem 1	"1,174"		"881,780"	"796,138"	"710,450"	"109,114"	"769,769"	"842,543"	"860,262"	"855,700"	"832,619"	"873,109"	"854,429"	"772,595"	"9,158,508"
Salem 2	"1,130"		"860,562"	"776,504"	"859,205"	"827,037"	"623,217"	"750,906"	"837,797"	"791,692"	"806,933"	"844,959"	"831,585"	"858,996"	"9,669,393"
Hope Creek 1	"1,061"		"671,526"	"721,771"	"813,052"	"783,583"	"730,587"	"737,500"	"778,000"	"773,888"	"729,209"	"257,055"	"308,886"	"799,486"	"8,104,543"
NEW YORK	"5,156"		"3,885,875"	"3,456,126"	"2,774,532"	"2,897,126"	"3,650,011"	"3,754,478"	"3,838,364"	"3,741,574"	"3,635,087"	"3,714,782"	"3,193,362"	"3,911,537"	"42,452,854"
Indian Point 2	"1,020"		"767,275"	"675,867"	"759,840"	"739,580"	"686,915"	"731,296"	"748,923"	"745,699"	"726,151"	"757,090"	"741,399"	"762,606"	"8,842,641"
Nine Mile Point 1	621		"466,148"	"392,886"	"203,054"	"213,719"	"376,484"	"444,934"	"448,195"	"444,866"	"404,436"	"454,953"	"444,919"	"468,287"	"4,762,881"
Nine Mile Point 2	"1,140"		"851,271"	"760,791"	"623,184"	"819,140"	"842,290"	"801,492"	"828,544"	"799,652"	"804,231"	"836,775"	"402,930"	"830,843"	"9,201,143"
James Fitzpatrick	852		"639,284"	"542,849"	"637,738"	"617,189"	"584,379"	"615,692"	"630,361"	"561,609"	"542,769"	"477,499"	"430,705"	"638,276"	"6,918,350"
Ginna	498		"391,257"	"387,834"	"401,525"	"418,284"	"423,302"	"409,952"	"409,867"	"419,625"	"408,689"	"411,515"	"417,479"	"431,199"	"4,930,528"
Indian Point 3	"1,025"		"770,640"	"695,899"	"149,191"	"89,214"	"736,641"	"751,112"	"772,474"	"770,123"	"748,811"	"776,950"	"755,930"	"780,326"	"7,797,311"
NORTH CAROLINA	"4,975"		"3,832,694"	"3,473,435"	"2,496,377"	"2,295,944"	"2,956,647"	"3,589,048"	"3,742,959"	"3,709,466"	"3,199,985"	"3,238,133"	"3,699,494"	"3,810,523"	"40,044,705"
Brunswick 1	938		"717,820"	"654,219"	"719,722"	"549,513"	"706,345"	"683,339"	"710,056"	"692,078"	"334,252"	"715,442"	"698,196"	"700,923"	"7,881,905"
Brunswick 2	937		"697,731"	"636,309"	"36,594"	"255,131"	"703,179"	"673,524"	"698,194"	"695,545"	"656,626"	"701,943"	"676,160"	"709,322"	"7,140,258"
Shearon Harris 1	900		"691,771"	"626,054"	"685,273"	"660,878"	"678,022"	"648,431"	"666,547"	"661,605"	"600,239"	"137,065"	"667,641"	"679,524"	"7,403,050"
McGuire 1	"1,100"		"860,514"	"775,797"	"249,488"	"-4,161"	"14,180"	"763,272"	"831,194"	"830,319"	"802,800"	"840,504"	"828,415"	"859,595"	"7,651,917"
McGuire 2	"1,100"		"864,858"	"781,056"	"805,300"	"834,583"	"854,921"	"820,482"	"836,968"	"829,919"	"806,068"	"843,179"	"829,082"	"861,159"	"9,967,575"
OHIO	"2,124"		"1,594,551"	"1,442,937"	"1,546,701"	"652,409"	"924,383"	"1,324,553"	"830,619"	"1,589,997"	"1,527,824"	"1,592,662"	"1,484,349"	"1,253,064"	"15,764,049"
Perry 1	"1,245"		"925,628"	"841,117"	"906,738"	"8,911"	"294,340"	"684,060"	"168,786"	"931,004"	"898,058"	"929,063"	"837,810"	"632,732"	"8,058,247"
Davis-Besse	879		"668,923"	"601,820"	"639,963"	"643,498"	"630,043"	"640,493"	"661,833"	"658,993"	"629,766"	"663,599"	"646,539"	"620,332"	"7,705,802"
PENNSYLVANIA	"9,305"		"7,064,020"	"6,351,381"	"5,584,406"	"5,988,013"	"6,986,877"	"6,679,839"	"6,914,862"	"6,801,253"	"6,193,751"	"5,248,395"	"6,443,440"	"7,120,079"	"77,376,316"
Peach Bottom 2	"1,112"		"849,428"	"759,606"	"847,606"	"813,344"	"845,135"	"810,870"	"834,018"	"833,701"	"759,255"	"842,531"	"823,885"	"848,525"	"9,867,904"
Peach Bottom 3	"1,112"		"840,460"	"752,285"	"840,630"	"810,893"	"828,507"	"800,648"	"817,370"	"773,508"	"512,505"	"382,422"	"821,820"	"849,770"	"9,030,818"
Beaver Valley 1	892		"645,562"	"574,535"	"633,131"	"658,628"	"669,428"	"612,708"	"669,518"	"664,333"	"466,173"	"122,788"	"657,835"	"683,023"	"7,057,662"
Beaver Valley 2	846		"640,291"	"579,519"	"628,309"	"620,948"	"639,344"	"612,088"	"631,184"	"617,218"	"608,830"	"634,354"	"623,607"	"647,510"	"7,483,202"
Susquehanna 1	"1,149"		"863,399"	"772,331"	"854,565"	"814,843"	"846,830"	"805,069"	"832,596"	"830,999"	"810,074"	"336,031"	"828,321"	"861,275"	"9,456,333"
Susquehanna 2	"1,140"		"860,879"	"784,703"	"55,321"	"348,275"	"856,832"	"818,470"	"843,973"	"838,360"	"819,405"	"845,546"	"839,646"	"870,159"	"8,781,569"
Limerick 1	"1,134"		"864,781"	"786,803"	"861,010"	"831,555"	"837,143"	"814,110"	"837,415"	"800,678"	"813,819"	"847,539"	"836,411"	"863,101"	"9,994,365"
Limerick 2	"1,134"		"865,716"	"770,149"	"235,423"	"484,720"	"846,942"	"813,904"	"838,335"	"833,712"	"812,155"	"849,731"	"838,390"	"869,992"	"9,059,169"
Three Mile Island 1	786		"633,504"	"571,450"	"628,411"	"604,807"	"616,716"	"591,972"	"610,453"	"608,744"	"591,535"	"387,453"	"173,525"	"626,724"	"6,645,294"
SOUTH CAROLINA	"6,472"		"4,937,801"	"4,165,576"	"4,916,319"	"4,272,144"	"4,005,074"	"4,730,070"	"4,886,002"	"4,855,793"	"4,259,192"	"3,917,210"	"3,696,138"	"4,558,595"	"53,199,914"
H.B. Robinson 2	710		"560,132"	"508,107"	"549,343"	"92,159"	"257,258"	"525,429"	"525,101"	"535,744"	"525,693"	"550,437"	"544,248"	"564,272"	"5,737,923"
Oconee 1	846		"645,103"	"398,701"	"645,201"	"623,435"	"641,438"	"620,141"	"636,339"	"630,489"	"606,468"	"625,775"	"619,988"	"642,646"	"7,335,724"
Oconee 2	846		"649,554"	"499,712"	"647,915"	"545,909"	"4,586"	"623,510"	"645,972"	"628,376"	"606,967"	"641,098"	"627,477"	"647,913"	"6,768,989"
Oconee 3	846		"653,910"	"589,773"	"653,463"	"632,038"	"651,359"	"628,795"	"644,828"	"638,496"	"614,843"	"518,837"	"-1,943"	"235,538"	"6,459,937"
Catawba 1	"1,129"		"827,452"	"787,557"	"825,423"	"839,138"	"862,918"	"828,733"	"854,436"	"850,175"	"826,858"	"860,256"	"840,399"	"867,550"	"10,070,895"
Catawba 2	"1,129"		"870,361"	"784,869"	"865,510"	"838,718"	"861,839"	"808,702"	"856,135"	"852,483"	"379,876"	"-4,152"	"361,049"	"872,018"	"8,347,408"
Summer	966		"731,289"	"596,857"	"729,464"	"700,747"	"725,676"	"694,760"	"723,191"	"720,030"	"698,487"	"724,959"	"704,920"	"728,658"	"8,479,038"
TENNESSEE	"3,397"		"2,524,918"	"2,365,999"	"2,515,941"	"2,510,256"	"2,583,678"	"2,472,023"	"2,533,779"	"2,498,649"	"2,347,987"	"1,751,036"	"1,984,821"	"2,611,284"	"28,700,371"
Sequoyah 1	"1,148"		"873,798"	"789,965"	"873,628"	"839,999"	"867,914"	"833,030"	"853,614"	"846,306"	"728,409"	"59,250"	"316,889"	"875,486"	"8,758,288"
Sequoyah 2	"1,126"		"804,057"	"781,245"	"799,822"	"828,097"	"855,223"	"821,029"	"837,947"	"829,779"	"805,862"	"839,258"	"826,455"	"863,623"	"9,892,397"
Watts Bar 1	"1,123"		"847,063"	"794,789"	"842,491"	"842,160"	"860,541"	"817,964"	"842,218"	"822,564"	"813,716"	"852,528"	"841,477"	"872,175"	"10,049,686"
TEXAS	"4,860"		"3,730,849"	"3,215,608"	"2,507,496"	"2,104,452"	"3,738,281"	"3,590,034"	"3,697,982"	"3,664,338"	"3,578,833"	"3,728,810"	"3,642,605"	"3,755,742"	"40,955,030"
Comanche Peak 1	"1,150"		"873,904"	"653,024"	0	"237,263"	"870,669"	"837,847"	"861,299"	"859,079"	"832,764"	"866,684"	"845,155"	"859,061"	"8,596,749"
Comanche Peak 2	"1,150"		"878,422"	"792,832"	"875,777"	"846,199"	"870,405"	"839,104"	"862,392"	"860,132"	"834,883"	"867,342"	"845,752"	"875,758"	"10,248,998"
South Texas Project 1	"1,280"		"1,018,714"	"920,077"	"1,010,035"	"975,315"	"998,439"	"955,644"	"985,351"	"977,013"	"953,720"	"995,382"	"973,137"	"1,007,557"	"11,770,384"
South Texas Project 2	"1,280"		"959,809"	"849,675"	"621,684"	"45,675"	"998,768"	"957,439"	"988,940"	"968,114"	"957,466"	"999,402"	"978,561"	"1,013,366"	"10,338,899"
VERMONT	620		"463,654"	"414,710"	"458,386"	"412,847"	"171,302"	"337,130"	"449,454"	"346,130"	"302,751"	"432,845"	"450,832"	"463,687"	"4,703,728"
Vermont Yankee 1	620		"463,654"	"414,710"	"458,386"	"412,847"	"171,302"	"337,130"	"449,454"	"346,130"	"302,751"	"432,845"	"450,832"	"463,687"	"4,703,728"
VIRGINIA	"3,404"		"2,494,240"	"2,319,364"	"2,265,522"	"1,960,852"	"2,554,022"	"2,453,406"	"2,377,281"	"2,549,828"	"1,982,403"	"2,002,636"	"1,905,222"	"2,403,699"	"27,268,475"
Surry 1	799		"546,272"	"546,260"	"605,086"	"586,027"	"599,898"	"580,894"	"598,461"	"597,227"	"578,839"	"384,036"	0	"572,203"	"6,195,203"
Surry 2	799		"606,134"	"547,627"	"606,895"	"587,033"	"588,169"	"581,792"	"599,273"	"596,637"	"579,818"	"601,327"	"586,204"	"605,436"	"7,086,345"
North Anna 1	903		"662,445"	"625,296"	"689,973"	"667,274"	"688,046"	"664,719"	"685,060"	"683,482"	"168,866"	"339,491"	"659,873"	"680,613"	"7,215,138"
North Anna 2	903		"679,389"	"600,181"	"363,568"	"120,518"	"677,909"	"626,001"	"494,487"	"672,482"	"654,880"	"677,782"	"659,145"	"545,447"	"6,771,789"
WASHINGTON	"1,131"		"838,202"	"758,783"	"811,071"	"619,520"	"254,847"	"42,400"	"768,651"	"764,693"	"783,552"	"831,062"	"795,942"	"839,837"	"8,108,560"
Columbia Generating Sta.	"1,131"		"838,202"	"758,783"	"811,071"	"619,520"	"254,847"	"42,400"	"768,651"	"764,693"	"783,552"	"831,062"	"795,942"	"839,837"	"8,108,560"
WISCONSIN	"1,582"		"1,124,963"	"1,058,516"	"1,054,465"	"781,360"	"1,089,863"	"968,478"	"1,180,366"	"1,167,432"	"1,067,845"	"1,064,361"	"1,161,587"	"1,191,083"	"12,910,319"
Point Beach 1	512		"378,251"	"345,506"	"377,853"	0	"294,647"	"207,716"	"377,647"	"372,665"	"330,715"	"382,305"	"371,891"	"383,108"	"3,822,304"
Point Beach 2	514		"387,663"	"348,620"	"387,954"	"370,255"	"373,977"	"369,010"	"380,757"	"375,278"	"326,128"	"381,738"	"378,197"	"382,632"	"4,462,209"
Kewaunee	556		"359,049"	"364,390"	"288,658"	"411,105"	"421,239"	"391,752"	"421,962"	"419,489"	"411,002"	"300,318"	"411,499"	"425,343"	"4,625,806"
															
U.S. TOTAL	"100,266"		"74,006,184"	"65,224,794"	"64,305,153"	"57,301,424"	"65,024,555"	"68,923,074"	"72,738,535"	"72,750,910"	"67,578,578"	"61,689,542"	"64,899,278"	"71,982,726"	"806,424,753"
															
															
"Source: Capacity-EIA Survey form 860, ""Annual Electric Generator Report; Generation-EIA Survey Form 906, ""Power Plant Report."""															
