STATE	CITY	APPLICANT/LICENSEE NAME	LICENSE NO.	DOCKET	REGION	RECEIVED	TYPE/ACTION
PA	HORSHAM	"QUEST DIAGNOSTICS OF PENN., INC.   "	37-28294-01  	3030859	1	39266	5
PR	CAGUAS	HOSPITAL HIMA SAN PABLO - CAGUAS   	52-25019-01  	3030826	1	39266	4
TX	HOUSTON	EL PASO CORPORATION                	42-32335-01  	3035786	4	39266	5
VA	SOUTH HILL	COMMUNITY MEMORIAL HEALTHCENTER    	45-19273-01  	3017257	1	39266	4
WY	CASPER	ROCKY MOUNTAIN ONCOLOGY            	49-29254-01  	3037415	4	39266	4
AK	JUNEAU	BARTLETT REGIONAL HOSPITAL         	50-17686-01  	3013158	4	39268	8
AR	NORTH LITTLE ROCK	"V. A., DEPARTMENT OF               "	03-23853-01VA	3034325	3	39268	6
IN	MARTINSVILLE	MORGAN HOSPITAL & MEDICAL CENTER   	13-17449-01  	3012775	3	39268	4
TX	STAFFORD	PIKA INTERNATIONAL INC             	42-27787-01  	3036709	4	39268	8
CT	NEW HAVEN	"BIORELIX, INC.                     "	06-31263-01  	3037508	1	39269	2
DE	NEW CASTLE	INTEGRITY TESTLAB                  	07-30791-01  	3036177	1	39269	8
IN	LEBANON	WITHAM MEMORIAL HOSPITAL           	13-23331-01  	3020926	3	39269	4
IN	NEW CASTLE	HENRY COUNTY MEMORIAL HOSPITAL     	13-17958-01  	3013716	3	39269	4
IN	SOUTH BEND	CARDIOLOGY DIVISION                	13-26679-01  	3033963	3	39269	4
MD	HANOVER	"ECS MID-ATLANTIC, LLC              "	19-31261-01  	3037505	1	39269	2
MT	GREAT FALLS	AMERICAN RED CROSS BLOOD SERVICES  	25-27425-01  	3032627	4	39269	4
NJ	EDISON	JOHN F. KENNEDY MEDICAL CENTER     	29-12611-01  	3002555	1	39269	4
PA	KINGSTON	INTERMOUNTAIN MEDICAL GROUP        	37-30580-01  	3035412	1	39269	4
PA	LEWISTOWN	LEWISTOWN HOSPITAL                 	37-05453-03  	3010676	1	39269	4
PA	MECHANICSBURG	"ADVANTAGE ENGINEERS, LLC           "	37-30704-01  	3035895	1	39269	4
PA	VALENCIA	"PEDERSEN & PEDERSEN, INC.          "	37-28444-01  	3031335	1	39269	5
PA	YORK	MEMORIAL HOSPITAL                  	37-11144-01  	3003132	1	39269	4
TX	PASADENA	"PETROCHEM INSPECTION SERVICES, INC."	42-32507-01  	3036565	3	39269	4
VA	CHARLOTTESVILLE	MARTHA JEFFERSON HOSPITAL          	45-23003-01  	3020158	1	39269	4
VA	LEXINGTON	WASHINGTON AND LEE UNIVERSITY      	45-25034-01  	3030971	1	39269	4
VA	NORFOLK	OLD DOMINION UNIVERSITY            	45-09599-03  	3016045	1	39269	4
VA	RICHMOND	VIRGINIA UROLOGY CENTER            	45-25582-01  	3035941	1	39269	4
WV	TRIADELPHIA	"PEDERSEN & PEDERSEN, INC.          "	47-31262-01  	3037506	1	39269	2
AK	PALMER	MAT-SU REIGONAL MEDICAL CENTER     	50-29059-01  	3033011	4	39272	8
AR	NORTH LITTLE ROCK	"V. A., DEPARTMENT OF               "	03-23853-01VA	3034325	3	39272	6
CT	HARTFORD	ST. FRANCIS HOSPITAL & MEDICAL CTR.	06-00854-03  	3001246	1	39272	4
MD	DICKERSON	"NEUTRON PRODUCTS,INC.              "	SUB-1551     	4009007	1	39272	4
ME	PITTSFIELD	UTC FIRE & SECURITY AMERICAS CORP. 	18-19750-02E 	3019260	0	39272	4
NJ	JERSEY CITY	JERSEY CITY MEDICAL CENTER CAMPUS  	29-01663-01  	3002439	1	39272	4
NJ	MAYWOOD	"CLIFFORD, JAMES, M.D.              "	29-31003-01  	3036843	1	39272	4
NJ	TURNERSVILLE	KENNEDY MEMORIAL HOSPITALS         	29-15459-01  	3009149	1	39272	4
PA	MALVERN	CHARLES RIVER LABORATORIES-MALVERN 	37-28306-01  	3030892	1	39272	4
PR	FAJARDO	"CENTRO CARDIOVASCULAR DEL ESTE, CSP"	52-31241-01  	3037454	1	39272	4
VA	NORTON	WELLMONT HEALTH SYSTEM             	45-23001-01  	3020156	1	39272	4
VA	PENNINGTON GAP	WELLMONT HEALTH SYSTEM             	45-23009-01  	3020163	1	39272	4
VA	SUFFOLK	SENTARA LOUISE OBICI MEMORIAL HOSP.	45-18195-01  	3014647	1	39272	4
VA	WYTHEVILLE	WYTHE COUNTY COMMUNITY HOSPITAL    	45-16635-01  	3011371	1	39272	4
AK	ANCHORAGE	"TECK COMINCO ALASKA, INC.          "	50-23289-01  	3030900	4	39273	4
CA	VISTA	SCIENCE APPLICATIONS INT'L CORP    	04-23909-01E 	3036424	0	39273	4
IN	NEWBURGH	MIDWEST RADIOLOGIC IMAGING         	13-26401-01  	3032730	3	39273	4
MO	JOPLIN	THERMAL ENGINEERING INTERNATIONAL  	24-19500-01  	3017798	3	39273	4
MT	BOZEMAN	BOZEMAN DEACONESS FOUNDATION       	25-10994-04  	3033305	4	39273	4
PR	SANTURCE	PAVIA HOSPITAL                     	52-15139-01  	3008181	1	39273	4
ID	IDAHO FALLS	INTERNATIONAL ISOTOPES INC.        	             	3037509	0	39274	2
PA	DARBY	MERCY FITZGERALD HOSPITAL          	37-00993-05  	3008702	1	39274	4
DE	WILMINGTON	"FIRST STATE DIAGNOSTIC CENTER, INC."	07-30681-01  	3035838	1	39275	4
HI	KAILUA	"STEWART ENGINEERING, INC.          "	53-29225-01  	3037132	4	39275	4
MI	DETROIT	ST. JOHN HOSPITAL & MEDICAL CENTER 	21-03210-01  	3002028	3	39275	4
MI	GRAND RAPIDS	SAINT MARY'S HEALTH CARE           	21-01078-01  	3008291	3	39275	4
NJ	NEW BRUNSWICK	ROBERT WOOD JOHNSON UNIV. HOSPITAL 	29-10173-02  	3002525	1	39275	4
PA	BERWYN	ISOLITE CORPORATION                	37-23527-01G 	3028619	1	39275	4
PA	BERWYN	ISOLITE CORPORATION                	37-23527-02  	3037392	1	39275	4
PA	LANCASTER	ALCOA MILL PRODUCTS                	             	3037511	1	39275	2
PA	LANCASTER	"HEART GROUP, LTD.(THE)             "	37-30426-01  	3034622	1	39275	4
SD	SIOUX FALLS	AVERA MCKENNAN HOSPITAL            	40-16571-01  	3011252	4	39275	4
VA	HAMPTON	ADVEX CORPORATION                  	45-16452-01  	3011069	1	39275	4
VA	MIDLOTHIAN	"BON SECOURS VA HEALTH SOURCE, INC  "	45-25187-01  	3032638	1	39275	4
AZ	WICKENBURG	ANDERSON MINING COMPANY            	             	4009074	0	39276	2
ID	BOISE	BOISE STATE UNIVERSITY             	11-27388-01  	3032218	4	39276	7
MD	BETHESDA	AREVA NC INC.                      	             	7007015	0	39276	1
MI	DETROIT	ST. JOHN DETROIT RIVERVIEW HOSPITAL	21-32449-01  	3036259	3	39276	5
NJ	EDISON	QUALITY CARDIOLOGY ASSOCIATES OF NJ	29-30220-01  	3033864	1	39276	4
NJ	LAKEWOOD	ONCOLOGY SERVICES INTERNATIONAL    	SUB-1590     	4009065	1	39276	4
PA	JOHNSTOWN	CONEMAUGH VALLEY MEMORIAL HOSPITAL 	37-01873-01  	3003011	1	39276	4
PA	LANGHORNE	ST. MARY HOSPITAL                  	37-15400-01  	3009047	1	39276	4
PA	STATE COLLEGE	MOUNT NITTANY MEDICAL CENTER       	37-13681-01  	3003198	1	39276	4
VT	ST. JOHNSBURY	"NORTHEASTERN VT REGIONAL HOSP., INC"	44-16262-01  	3010781	1	39276	4
IN	"NEWBURGH,"	DEACONESS HOSPITAL                 	13-00142-02  	3001580	3	39279	4
MI	LIVONIA	"ENGINEERING SERVICES, INC.         "	21-26742-01  	3034199	3	39279	4
NJ	HAWTHORNE	"HEART-LUNG CENTER, P.A.            "	29-30333-01  	3034222	1	39279	4
NJ	TOTOWA	"ARISTON RADIOLOGY ASSOCS., L.L.C.  "	29-02023-06  	3032352	1	39279	4
PA	BETHLEHEM	ST. LUKE'S HOSPITAL                	37-07939-01  	3003100	1	39279	4
PA	MEADVILLE	ALLEGHENY COLLEGE                  	37-14909-01  	3008239	1	39279	4
PA	STATE COLLEGE	"MPI RESEARCH, INC.                 "	37-30095-01  	3033359	1	39279	4
VA	FREDERICKSBURG	"D&W GEOTECH/TESTING, INC.          "	45-31265-01  	3037512	1	39279	2
VA	HAMPTON	SENTARA CAREPLEX HOSPITAL          	45-09087-01  	3003331	1	39279	4
VA	MARTINSVILLE	"PHC-MARTINSVILLE, INC.             "	45-13692-01  	3003365	1	39279	4
VA	PRINCE WILLIAM	PRINCE WILLIAM COUNTY              	45-19655-01  	3019045	1	39279	4
VA	RESTON	"RESTON HOSPITAL CENTER, LLC        "	45-17898-01  	3013617	1	39279	4
VA	RUCKERSVILLE	"CTI CONSULTANTS, INC.              "	45-23031-01  	3020195	1	39279	4
VT	MORRISVILLE	COPLEY HOSPITAL                    	44-19196-01  	3017125	1	39279	4
HI	AIEA	HIRATA & ASSOCIATES INC            	53-29025-01  	3032056	4	39280	4
HI	EWA BEACH	ISLAND CONCRETE TESTING LLC        	53-29270-01  	3037514	4	39280	2
IN	FRANKLIN	JOHNSON COUNTY MEMORIAL HOSPITAL   	13-14817-01  	3008553	3	39280	4
IN	INDIANAPOLIS	"CARE GROUP, LLC., THE              "	13-19923-01  	3019538	3	39280	4
MI	BURTON	CONSTRUCTION TESTING SERVICES      	21-18680-01  	3014031	3	39280	4
MI	MARQUETTE	NORTHERN MICHIGAN UNIVERSITY       	21-09119-02  	3008204	3	39280	3
MI	MIDLAND	DOW CHEMICAL COMPANY               	21-00265-06  	3004783	3	39280	3
MO	CAPE GIRARDEAU	SOUTHEAST MISSOURI HOSPITAL        	24-00128-03  	3002264	3	39280	4
MT	BILLINGS	BILLINGS CLINIC                    	25-01051-01  	3002389	4	39280	4
NJ	ELIZABETH	TRINITAS REGIONAL MEDICAL CENTER   	29-04333-01  	3002476	1	39280	4
NJ	JERSEY CITY	CHRIST HOSPITAL                    	29-12664-01  	3002556	1	39280	4
NY	NEW YORK	IDEAL SOURCE INTERNATIONAL LLC     	             	3037513	3	39280	2
OH	TWINSBURG	"REUTER-STOKES, INC.                "	SNM-1826     	7002872	3	39280	4
PA	BLOOMSBURG	SAFETY LIGHT CORPORATION           	37-00030-02  	3005980	1	39280	7
PA	BLOOMSBURG	SAFETY LIGHT CORPORATION           	37-00030-08  	3005982	1	39280	7
PA	PITTSBURGH	"PITTSBURGH, UNIVERSITY OF          "	37-00245-09  	3029418	1	39280	4
PA	WILKES-BARRE	"MEDI-PHYSICS, INC.                 "	37-30722-01MD	3035949	1	39280	4
SD	VERMILLION	"SOUTH DAKOTA, UNIVERSITY OF        "	40-02331-19  	3015186	4	39280	4
WA	REDMOND	"GEOENGINEERS, INC.                 "	46-27696-01  	3035685	4	39280	4
WI	MILWAUKEE	"AECOM USA,INC. AND AECOM,INC.      "	48-18672-01  	3014020	3	39280	4
WY	GLENROCK	SOUTHWEST X-RAY CORPORATION        	49-27434-01  	3032768	4	39280	5
CT	DANBURY	DANBURY HOSPITAL                   	06-08544-01  	3001274	1	39281	4
ID	TWIN FALLS	ST. LUKE'S MAGIC VALLEY REG MED CTR	11-27082-01  	3032236	4	39281	4
IN	LAPORTE	HOWMET LAPORTE CASTINGS            	13-18517-01  	3013817	3	39281	4
MD	FREDERICK	"ECS MID-ATLANTIC, LLC              "	19-31242-01  	3037455	1	39281	4
MI	BLOOMFIELD HILLS	CARDIOLOGY AND VASCULAR ASSOCIATES 	21-32177-01  	3035016	3	39281	4
MO	KANSAS CITY	TRANSYSTEMS CORPORATION            	24-32091-01  	3034733	3	39281	4
PA	PITTSBURGH	CARNEGIE MELLON UNIVERSITY         	37-00602-03  	3014472	1	39281	7
VA	CHARLOTTESVILLE	UNIV. OF VA HEALTH SVCS FOUNDATION 	45-00034-30  	3030672	1	39281	4
IN	FORT WAYNE	RADIATION ONCOLOGY ASSOCIATES      	13-32551-01  	3036814	3	39282	4
NJ	BROWNS MILLS	DEBORAH HEART & LUNG CENTER        	29-18190-01  	3014634	1	39282	4
NJ	PERTH AMBOY	RARITAN BAY MEDICAL CENTER         	29-11935-01  	3002539	1	39282	4
TX	ALVIN	"TEAM INDUSTRIAL SERVICES, INC.     "	42-32219-01  	3035252	4	39282	4
VA	HOPEWELL	E. I. DU PONT DE NEMOURS & CO.(INC)	45-14837-01  	3007643	1	39282	4
WA	SPOKANE	TAYLOR ENGINEERING INC             	46-29250-01  	3037404	4	39282	4
CT	HARTFORD	"CENTRAL CONN. CARDIOLOGISTS, LLC   "	06-27909-01  	3029568	1	39283	4
CT	ROCKY HILL	"JGI EASTERN, INC.                  "	06-30794-01  	3036182	1	39283	4
MI	ANN ARBON	AASTROM BIOSCIENCES                	21-26519-01  	3033266	3	39283	4
MI	ANN ARBON	AASTROM BIOSCIENCES                	21-26519-01  	3033266	3	39283	6
MI	AUBURN HILLS	MICHIGAN INTERNAL MED.&CARDIOLOGY  	21-32376-01  	3035953	3	39283	4
MI	SAULT STE. MARIE	CHIPPEWA COUNTY WAR MEMORIAL HOSP. 	21-20318-01  	3018244	3	39283	4
MI	TRAVERSE CITY	GRAND TRAVERSE HEART ASSOCIATES    	21-26531-01  	3033324	3	39283	4
NM	ALBUQUERQUE	LOVELACE RESPIRATORY RESEARCH INST 	30-29237-01  	3037312	4	39283	4
OH	DUBLIN	CARDINAL HEALTH                    	34-29200-01MD	3036973	3	39283	4
PA	MCKEESPORT	BUCK MEDICAL ASSOCIATES            	37-30969-01  	3036708	1	39283	4
PA	PAOLI	PAOLI MEMORIAL HOSPITAL            	37-16435-01  	3011052	1	39283	4
PR	ISABELA	"DESSARROLLADORA J.A., INC.         "	52-31266-01  	3037515	1	39283	2
VT	SOUTH BURLINGTON	VERMONT RADIOLOGISTS               	44-28802-01  	3032980	1	39283	4
NJ	BRICK	BRICK PET PARTNERS                 	29-30692-01  	3035864	1	39284	5
VA	RESTON	SENTRILLION                        	45-25479-01  	3035152	1	39285	4
CT	BRIDGEPORT	"MEGAN, LLC                         "	06-19279-01  	3017254	1	39286	4
CT	RIDGEFIELD	"BOEHRINGER INGELHEIM PHARM., INC.  "	06-19183-01  	3017101	1	39286	4
HI	WAIPAHU	OAHU IMAGING LLC                   	53-27805-01  	3036888	4	39286	4
MI	CADILLAC	MERCY HOSPITAL - CADILLAC          	21-10717-01  	3002088	3	39286	4
MI	FLINT	MCLAREN REGIONAL MEDICAL CENTER    	21-04171-04  	3002048	3	39286	4
MI	MIDLAND	MIDMICHIGAN MEDICAL CENTER         	21-01549-02  	3002013	3	39286	4
MT	BILLINGS	BILLINGS CLINIC                    	25-01051-01  	3002389	4	39286	4
MT	GLENDIVE	GLENDIVE MEDICAL CENTER            	25-17265-01  	3012470	4	39286	8
MT	GREAT FALLS	MONTANA REFINING COMPANY INC       	25-27488-01  	3033433	4	39286	4
NJ	BRANCHBURG	"SPECTRA GASES, INC.                "	29-30779-01  	3036136	1	39286	4
NJ	CHESTER	"ANTONUCCI, LAWRENCE, M.D.          "	29-31028-01  	3036898	1	39286	4
NJ	TOMS RIVER	JAY H. STONE M.D. P.A.             	29-30637-01  	3035712	1	39286	4
NJ	TURNERSVILLE	"SSP PARTNERS, LLC                  "	29-30723-01  	3035950	1	39286	4
NY	NEW YORK	IDEAL SOURCE INTERNATIONAL LLC     	             	3037518	0	39286	2
PA	BEAVER	HERITAGE VALLEY HEALTH SYSTEM      	37-11562-01  	3003143	1	39286	4
PA	BEAVER FALLS	IPSCO KOPPEL TUBULARS CORPORATION  	37-20657-02  	3033444	1	39286	8
PA	LITITZ	HEART OF LANCASTER REGIONAL MED CTR	37-12495-01  	3003164	1	39286	4
PA	PHILADELPHIA	PENNSYLVANIA HOSPITAL              	37-06864-06  	3015163	1	39286	4
SC	ST. STEPHEN	ALBANY INTERNATIONAL CORP.         	39-32289-01  	3035604	3	39286	4
TX	EL PASO	"ARMY, DEPARTMENT OF THE            "	42-05255-07  	3003260	4	39286	4
TX	IRVING	ABBOTT LABORATORIES                	42-23864-01E 	3034883	0	39286	4
VA	ALEXANDRIA	INOVA ALEXANDRIA HOSPITAL          	45-09358-02  	3003335	1	39286	4
VA	CHESAPEAKE	CHESAPEAKE GENERAL HOSPITAL        	45-16909-01  	3011847	1	39286	4
WV	SUTTON	"BROOKS RUN MINING COMPANY, LLC     "	47-25581-01  	3035906	1	39286	5
FL	FORT MYERS	"AMBERGRIS, LLC                     "	09-31177-01  	3037316	1	39287	4
IL	CHICAGO	"SHAH, UDAY, M.D., F.A.C.C.         "	             	3037519	3	39287	2
KS	KANSAS CITY	"ALPHA-OMEGA GEOTECH, INC.          "	15-23181-01  	3028681	4	39287	4
MI	ALPENA	LAFARGE MIDWEST INC.               	21-25823-01  	3030142	3	39287	4
MI	JACKSON	ALLEGIANCE HEALTH                  	21-00258-06  	3001990	3	39287	4
MI	MONROE	MERCY MEMORIAL HOSPITAL            	21-18816-01  	3014210	3	39287	4
MI	PONTIAC	"CARDIOVASCULAR CONSULTANTS MI, P.C."	21-32424-01  	3036130	3	39287	4
MI	SAGINAW	"SNYDER & STALEY ENGINEERING, P.L.C."	21-32606-01  	3037084	3	39287	4
MI	WOODHAVEN	"ACADEMIC HEART & VASCULAR, PLLC    "	21-32553-01  	3036820	3	39287	4
MO	CHESTERFIELD	"MIDWEST BRACHYTHERAPY SERVICES,INC."	24-32280-01  	3035581	3	39287	4
MO	FLORISSANT	"METRO CARDIOVASCULAR, INC.         "	             	3037521	3	39287	2
VA	ALEXANDRIA	INOVA ALEXANDRIA HOSPITAL          	45-09358-02  	3003335	1	39287	4
WV	HUNTINGTON	ST. MARY'S MEDICAL CENTER          	47-09576-01  	3003388	1	39287	4
CA	SUNOL	GE-HITACHI NUCLEAR ENERGY AMERICAS 	SNM-1270     	7001220	0	39288	3
CO	ENGLEWOOD	"AGUIRRE ENGINEERS, INC.            "	05-27647-01  	3035245	4	39288	5
DE	WILMINGTON	ALFRED I. DUPONT HOSP. FOR CHILDREN	07-16199-03  	3032575	1	39288	4
DE	WILMINGTON	ALFRED I.DUPONT HOSP. FOR CHILDREN 	07-16199-02  	3019939	1	39288	4
KY	OWENSBORO	"INTEGRITY TESTING & INSPECTION, INC"	16-31189-01  	3037343	1	39288	4
MI	DETROIT	HEART & VASCULAR PHYSICIANS        	21-32562-01  	3036892	3	39288	4
MO	CRYSTAL CITY	"ADEM, ANTOINE M., M.D.             "	24-32613-01  	3037184	3	39288	4
MT	BILLINGS	ST. VINCENT HEALTHCARE             	25-07553-01  	3002396	4	39288	4
NJ	TOMS RIVER	COMMUNITY MEDICAL CENTER           	29-09806-03  	3012158	1	39288	4
PA	EXTON	ADOLOR CORPORATION                 	37-30369-01  	3034340	1	39288	3
PA	JOHNSTOWN	AMERICAN RED CROSS BLOOD SERVICES  	37-28730-01  	3032655	1	39288	4
PA	MEADOWBROOK	HOLY REDEEMER HOSPITAL & MED CENTER	37-05089-01  	3003044	1	39288	4
PA	PHILADELPHIA	"JAMES D. MORRISSEY, INC.           "	37-20805-02  	3037520	1	39288	1
PA	PITTSBURGH	"PITTSBURGH, UNIVERSITY OF          "	37-00245-09  	3029418	1	39288	4
PR	GUAYNABO	"DELTA CONSULT.ENGRG.OF THE CARIB.,I"	52-25415-01  	3034587	1	39288	4
SD	MOBRIDGE	"GOLDSMITH HECK_ENGINEERS, INC.     "	40-27625-01  	3034989	4	39288	4
VA	CHESTER	"VIRGINIA HEART GROUP, LTD          "	45-25258-01  	3033219	1	39288	4
AK	JUNEAU	COLASKA DBA SECON SOUTHWEST ALASKA 	50-29231-01  	3037206	4	39289	4
CT	RIDGEFIELD	SCHLUMBERGER TECHNOLOGY CORP.      	06-00807-01  	3003766	1	39289	8
KS	OVERLAND PARK	"MIDWEST CARDIOLOGY ASSOCIATES, P.C."	15-32428-01  	3036148	3	39289	5
MI	DETROIT	UNIVERSITY INTERNAL MEDICINE SPEC. 	21-32499-01  	3036522	3	39289	5
MO	INDEPENDENCE	"MIDWEST CARDIOLOGY ASSOCIATES, P.C."	24-32674-01  	3037554	3	39289	2
MT	BUTTE	ST. JAMES HEALTHCARE               	25-13173-02  	3012143	4	39289	4
NJ	ENGLEWOOD	ENGLEWOOD HOSPITAL & MEDICAL CENTER	29-08519-01  	3002513	1	39289	4
NJ	SALEM	"STERIGENICS US, LLC                "	29-20900-01  	3022307	1	39289	4
PA	MONROEVILLE	"CAMINOS, OLIVER W., M.D.           "	37-21012-01  	3019665	1	39289	4
PA	STONEBORO	NORTHWEST RAD. TREATMNT.SVCS.INC.  	37-30573-01  	3035400	1	39289	5
PR	HATO REY	DR.I. GONZALEZ MARTINEZ ONCOLOGY HO	52-13471-01  	3003532	1	39289	4
PR	SAN JUAN	"PUERTO RICO, UNIVERSITY OF         "	52-01946-07  	3013584	1	39289	4
TX	STAFFORD	PIKA INTERNATIONAL INC             	42-27787-01  	3036709	4	39289	8
VA	BLACKSBURG	MONTGOMERY REGIONAL HOSPITAL       	45-19057-01  	3015297	1	39289	4
VA	RICHMOND	BLAKEMORE CONSTRUCTION CORP.       	45-24919-01  	3030019	1	39289	4
WV	WHITE HALL	"GEORGE E. PIGOTT & ASSOC., INC.    "	47-25105-01  	3031762	1	39289	4
KS	OLATHE	"TERRACON CONSULTANTS, INC.         "	15-27070-01  	3032176	4	39290	8
MI	ANN ARBOR	"MEDICAL PHYSICS CONSULTANTS, INC.  "	21-20153-01  	3018026	3	39290	4
MI	ANN ARBOR	MIRVIEW INCORPORATED               	21-26775-01  	3034321	3	39290	4
MO	EARTH CITY	TESTAMERICA LABORATORIES-ST. LOUIS 	24-24817-01  	3029601	3	39290	4
NJ	OLD BRIDGE	"ASSOC. IN CARDIOLOGY & INT. MED, PA"	29-28361-01  	3031048	1	39290	4
NJ	RAHWAY	"VERITCAL V-NORTHEAST, INC.         "	29-30107-01  	3033387	1	39290	4
PR	HATO REY	CENTRO DE RADIOTERAPIA             	52-30937-01  	3036635	1	39290	4
VA	ANNANDALE	"FAIRFAX HEART ASSOCIATES, PC       "	45-30978-01  	3036772	1	39290	4
IN	INDIANAPOLIS	ST. VINCENT HOSP. & HLTH. CARE CNTR	13-00133-02  	3001579	3	39293	4
MI	CANTON	"MILLER TECHNICAL SERVICES, INC.    "	21-32641-01  	3037396	3	39293	4
MI	WYANDOTTE	BASF CORPORATION                   	21-00627-02  	3004787	3	39293	4
MO	ST. LOUIS	BARNES-JEWISH WEST COUNTY HOSPITAL 	24-26243-01  	3031901	3	39293	4
NJ	CAMDEN	COOPER HEALTH SYSTEM (THE)         	29-08285-01  	3002512	1	39293	4
NJ	EDISON	"TRICAT, LLC                        "	29-30019-01  	3033077	1	39293	4
NJ	OLDWICK	B. W. FURLONG & ASSOCIATES         	29-30291-01  	3034108	1	39293	4
NJ	PARLIN	E. I. DU PONT DE NEMOURS           	29-02065-01  	3005271	1	39293	5
NJ	ROCKAWAY	"NUCLEAR DIAGNOSTIC PRODUCTS, INC.  "	29-30500-01MD	3034940	1	39293	4
PA	PITTSBURGH	UPMC MERCY                         	37-01321-02  	3002982	1	39293	4
PA	PORT ALLEGANY	PITTSBURGH CORNING CORPORATION     	37-20923-01  	3028956	1	39293	5
VA	RICHMOND	TIMMONS GROUP                      	45-25350-01  	3033998	1	39293	4
WV	SOUTH CHARLESTON	HERBERT J. THOMAS MEMORIAL HOSPITAL	47-17746-01  	3013267	1	39293	4
AK	ANCHORAGE	PROVIDENCE ALASKA MEDICAL CENTER   	50-17838-01  	3013426	4	39294	8
CT	WEST HARTFORD	CONNECTICUT VETERINARY CENTER      	06-31245-02  	3037522	1	39294	1
IN	NEW ALBANY	"BICKERS, D. MARK., M.D.            "	13-32474-01  	3036390	3	39294	4
MI	CLINTON TOWNSHIP	"TRI-COUNTY RADIOLOGISTS, P.C.      "	21-17974-01  	3013748	3	39294	4
MI	ESCANABA	ESCANABA PAPER COMPANY             	21-17630-01  	3013087	3	39294	4
MI	ROCHESTER	CRITTENTON HOSPITAL                	21-13562-01  	3002157	3	39294	4
MO	INDEPENDENCE	CLINICAL CARDIOVASCULAR ASSOCIATES 	24-32429-01  	3036149	3	39294	4
NC	RALEIGH	"INSTROTEK, INC.                    "	32-32666-01  	3037525	3	39294	2
NJ	WEEHAWKEN	"SWATCH GROUP (U.S.), INC.          "	29-30923-02E 	3036606	0	39294	5
PA	PITTSBURGH	UPMC PRESBYTERIAN SHADYSIDE        	37-02523-01  	3003021	1	39294	4
MD	COLUMBIA	NUCLETRON CORPORATION              	19-28772-01  	3032842	1	39295	4
MI	STERLING HEIGHTS	"MACOMB PHYSICIANS GROUP, PL.L.C.   "	21-32665-01  	3037523	3	39295	2
