"Monthly Nuclear Utility Generation by State and Reactor,  2009"																
January  through December 2009																
	Net															
Vogtle 2	"1,152"		"887,938"	"801,367"	"859,300"	"852,979"	"873,444"	"836,764"	"865,449"	"864,160"	"813,860"	"875,832"	"826,870"	"792,963"	"10,150,926"	
Edwin I. Hatch 1	876		"656,285"	"600,110"	"661,698"	"632,721"	"205,290"	"629,706"	"645,274"	"649,886"	"630,803"	"586,291"	"640,180"	"651,768"	"7,190,012"	
Edwin I. Hatch 2	883		"660,050"	"152,506"	"-5,728"	"-6,143"	"76,410"	"524,335"	"614,030"	"650,084"	"637,613"	"664,076"	"571,114"	"668,296"	"5,206,643"	
ILLINOIS	"11,441"		"8,270,800"	"7,471,163"	"8,522,238"	"7,493,003"	"7,762,474"	"8,223,770"	"8,375,522"	"8,266,934"	"7,626,214"	"7,241,858"	"7,666,455"	"8,553,489"	"95,473,920"	
Clinton	"1,065"		"799,748"	"717,787"	"798,222"	"774,484"	"766,014"	"768,172"	"793,462"	"792,113"	"713,349"	"422,334"	"771,859"	"770,370"	"8,887,914"	
Dresden 2	867		"647,173"	"584,658"	"640,187"	"625,403"	"641,143"	"624,667"	"645,808"	"644,778"	"622,828"	"638,120"	"16,760"	"571,099"	"6,902,624"	
Dresden 3	867		"650,010"	"576,990"	"642,829"	"561,272"	"641,125"	"621,551"	"644,003"	"641,421"	"619,651"	"563,725"	"561,792"	"640,420"	"7,364,789"	
Quad Cities 1	882		"644,153"	"581,900"	"638,925"	"531,625"	899	"617,485"	"656,331"	"654,916"	"554,798"	"664,028"	"641,652"	"663,443"	"6,850,155"	
Quad Cities 2	892		"649,194"	"582,841"	"644,086"	"590,110"	"664,155"	"638,223"	"660,275"	"659,578"	"638,033"	"668,637"	"648,497"	"669,811"	"7,713,440"	
Braidwood 1	"1,178"		"897,694"	"811,318"	"830,976"	"274,969"	"886,710"	"852,446"	"880,664"	"880,350"	"851,053"	"895,376"	"867,544"	"897,152"	"9,826,252"	
Braidwood 2	"1,152"		"876,013"	"790,534"	"872,653"	"791,272"	"865,707"	"829,494"	"827,861"	"723,882"	"833,072"	"295,944"	"817,815"	"877,478"	"9,401,725"	
Byron 1	"1,164"		"885,746"	"785,272"	"888,217"	"855,433"	"877,275"	"841,007"	"868,307"	"870,587"	"355,761"	"634,399"	"859,127"	"888,254"	"9,609,385"	
Byron 2	"1,136"		"867,877"	"782,211"	"861,576"	"830,108"	"859,900"	"822,150"	"852,578"	"852,279"	"826,053"	"859,418"	"831,265"	"863,473"	"10,108,888"	
LaSalle County 1	"1,118"		"860,168"	"776,657"	"851,531"	"828,785"	"715,344"	"794,313"	"705,254"	"834,889"	"803,418"	"853,394"	"820,363"	"856,596"	"9,700,712"	
LaSalle County 2	"1,120"		"493,024"	"480,995"	"853,036"	"829,542"	"844,202"	"814,262"	"840,979"	"712,141"	"808,198"	"746,483"	"829,781"	"855,393"	"9,108,036"	
IOWA	601		"394,244"	"5,357"	"360,881"	"399,821"	"452,957"	"433,616"	"452,271"	"451,155"	"430,826"	"400,789"	"444,369"	"452,645"	"4,678,931"	
Duane Arnold	601		"394,244"	"5,357"	"360,881"	"399,821"	"452,957"	"433,616"	"452,271"	"451,155"	"430,826"	"400,789"	"444,369"	"452,645"	"4,678,931"	
KANSAS	"1,160"		"885,692"	"797,548"	"872,111"	"786,064"	"819,918"	"843,949"	"869,102"	"700,728"	"848,675"	"242,473"	"213,432"	"888,856"	"8,768,548"	
Wolf Creek 1	"1,160"		"885,692"	"797,548"	"872,111"	"786,064"	"819,918"	"843,949"	"869,102"	"700,728"	"848,675"	"242,473"	"213,432"	"888,856"	"8,768,548"	
LOUISIANA	"2,142"		"1,622,019"	"1,458,220"	"1,609,970"	"1,558,454"	"1,594,494"	"1,541,185"	"1,592,967"	"1,584,193"	"1,266,114"	"781,992"	"696,035"	"1,476,434"	"16,782,077"	
Waterford 3	"1,168"		"882,541"	"797,002"	"877,283"	"848,768"	"869,165"	"845,074"	"869,340"	"868,947"	"843,897"	"511,632"	"-7,361"	"742,419"	"8,948,707"	
River Bend 1	974		"739,478"	"661,218"	"732,687"	"709,686"	"725,329"	"696,111"	"723,627"	"715,246"	"422,217"	"270,360"	"703,396"	"734,015"	"7,833,370"	
MARYLAND	"1,705"		"1,303,777"	"1,045,223"	"940,839"	"1,260,328"	"1,291,934"	"1,226,644"	"1,158,547"	"1,245,982"	"1,225,916"	"1,282,637"	"1,259,342"	"1,308,950"	"14,550,119"	
Calvert Cliffs 1	855		"656,629"	"595,852"	"657,793"	"635,824"	"651,578"	"619,088"	"535,933"	"626,807"	"615,991"	"644,182"	"632,102"	"656,791"	"7,528,570"	
Calvert Cliffs 2	850		"647,148"	"449,371"	"283,046"	"624,504"	"640,356"	"607,556"	"622,614"	"619,175"	"609,925"	"638,455"	"627,240"	"652,159"	"7,021,549"	
MASSACHUSETTS	685		"510,067"	"451,656"	"507,752"	"263,007"	"185,075"	"488,015"	"499,073"	"499,942"	"487,629"	"503,203"	"491,784"	"508,818"	"5,396,021"	
Pilgrim 1	685		"510,067"	"451,656"	"507,752"	"263,007"	"185,075"	"488,015"	"499,073"	"499,942"	"487,629"	"503,203"	"491,784"	"508,818"	"5,396,021"	
MICHIGAN	"3,953"		"2,253,718"	"1,940,344"	"1,708,195"	"-6,333"	"1,982,217"	"2,065,818"	"2,054,452"	"1,969,067"	"2,093,900"	"1,401,078"	"1,862,988"	"2,525,565"	"21,851,009"	
Palisades	778		"602,883"	"456,765"	"408,921"	0	"556,099"	"572,986"	"586,004"	"584,081"	"569,329"	"596,345"	"580,914"	"604,383"	"6,118,710"	
Fermi 2	"1,106"		"831,971"	"738,853"	"683,436"	"-6,333"	"790,316"	"701,690"	"808,089"	"804,660"	"753,809"	"-12,439"	"482,400"	"829,456"	"7,405,908"	
D.C. Cook 1	"1,009"		0	0	0	0	0	0	0	0	0	0	0	"263,428"	"263,428"	
D.C. Cook 2	"1,060"		"818,864"	"744,726"	"615,838"	0	"635,802"	"791,142"	"660,359"	"580,326"	"770,762"	"817,172"	"799,674"	"828,298"	"8,062,963"	
MINNESOTA	"1,668"		"1,208,162"	"1,116,363"	"973,685"	"760,652"	"928,104"	"1,159,077"	"1,201,392"	"1,195,380"	"916,714"	"819,925"	"876,068"	"1,237,903"	"12,393,425"	
Monticello	572		"400,966"	"390,162"	"168,280"	"-2,230"	"247,583"	"413,210"	"421,814"	"420,893"	"410,568"	"420,808"	"418,648"	"431,762"	"4,142,464"	
Prairie Island 1	551		"403,461"	"361,572"	"402,938"	"380,782"	"300,615"	"371,873"	"389,571"	"388,039"	"127,730"	"-2,537"	"68,733"	"404,836"	"3,597,613"	
Prairie Island 2	545		"403,735"	"364,629"	"402,467"	"382,100"	"379,906"	"373,994"	"390,007"	"386,448"	"378,416"	"401,654"	"388,687"	"401,305"	"4,653,348"	
MISSISSIPPI	"1,251"		"947,301"	"859,709"	"937,261"	"903,564"	"935,134"	"897,343"	"925,096"	"925,987"	"891,679"	"935,897"	"912,378"	"927,166"	"10,998,515"	
Grand Gulf 1	"1,251"		"947,301"	"859,709"	"937,261"	"903,564"	"935,134"	"897,343"	"925,096"	"925,987"	"891,679"	"935,897"	"912,378"	"927,166"	"10,998,515"	
MISSOURI	"1,190"		"928,441"	"535,798"	"826,689"	"796,254"	"909,950"	"836,422"	"898,752"	"899,588"	"878,322"	"918,753"	"891,471"	"926,676"	"10,247,116"	
Callaway	"1,190"		"928,441"	"535,798"	"826,689"	"796,254"	"909,950"	"836,422"	"898,752"	"899,588"	"878,322"	"918,753"	"891,471"	"926,676"	"10,247,116"	
NEBRASKA	"1,252"		"965,663"	"843,357"	"806,814"	"923,773"	"957,709"	"916,158"	"938,381"	"933,927"	"790,252"	"371,047"	"315,803"	"672,258"	"9,435,142"	
Fort Calhoun	478		"378,165"	"338,419"	"371,484"	"355,119"	"373,855"	"354,275"	"361,695"	"361,642"	"354,519"	"371,047"	"-1,780"	"82,123"	"3,700,563"	
Cooper	774		"587,498"	"504,938"	"435,330"	"568,654"	"583,854"	"561,883"	"576,686"	"572,285"	"435,733"	0	"317,583"	"590,135"	"5,734,579"	
NEW HAMPSHIRE	"1,247"		"924,993"	"836,579"	"925,103"	"896,458"	"926,038"	"896,326"	"926,131"	"926,113"	"892,480"	0	"340,343"	"326,109"	"8,816,673"	
Seabrook 1	"1,247"		"924,993"	"836,579"	"925,103"	"896,458"	"926,038"	"896,326"	"926,131"	"926,113"	"892,480"	0	"340,343"	"326,109"	"8,816,673"	
NEW JERSEY	"4,108"		"3,102,662"	"2,613,040"	"3,062,117"	"2,341,157"	"2,820,318"	"2,980,767"	"2,964,869"	"3,017,716"	"2,974,470"	"2,587,457"	"2,710,886"	"3,152,495"	"34,327,954"	
Oyster Creek 1	615		"473,879"	"191,784"	"469,082"	"375,920"	"406,739"	"445,612"	"352,978"	"422,406"	"447,749"	"464,990"	"455,890"	"471,372"	"4,978,401"	
Salem 1	"1,174"		"886,849"	"799,384"	"802,826"	"850,961"	"867,338"	"834,949"	"863,068"	"857,139"	"836,123"	"880,944"	"856,998"	"885,178"	"10,221,757"	
Salem 2	"1,158"		"886,912"	"796,505"	"879,132"	"850,592"	"866,404"	"837,680"	"862,960"	"859,329"	"837,062"	"350,288"	"518,973"	"881,663"	"9,427,500"	
Hope Creek 1	"1,161"		"855,022"	"825,367"	"911,077"	"263,684"	"679,837"	"862,526"	"885,863"	"878,842"	"853,536"	"891,235"	"879,025"	"914,282"	"9,700,296"	
NEW YORK	"5,262"		"3,920,606"	"3,531,183"	"3,215,105"	"3,152,605"	"3,716,535"	"3,446,138"	"3,865,505"	"3,739,768"	"3,507,947"	"3,806,412"	"3,696,052"	"3,886,758"	"43,484,614"	
Indian Point 2	"1,022"		"770,044"	"695,795"	"768,841"	"706,722"	"765,321"	"734,896"	"751,733"	"746,968"	"727,741"	"763,114"	"641,671"	"764,597"	"8,837,443"	
Nine Mile Point 1	621		"464,916"	"413,884"	"281,279"	"260,886"	"465,194"	"448,657"	"452,757"	"445,497"	"439,596"	"406,748"	"448,711"	"464,454"	"4,992,579"	
Nine Mile Point 2	"1,143"		"851,757"	"755,621"	"848,209"	"822,860"	"844,152"	"806,565"	"833,458"	"832,245"	"810,057"	"846,996"	"819,439"	"850,558"	"9,921,917"	
James Fitzpatrick	855		"623,093"	"571,825"	"636,975"	"591,987"	"635,258"	"612,763"	"628,418"	"621,154"	"604,523"	"634,498"	"616,268"	"621,312"	"7,398,074"	
Ginna	581		"432,130"	"390,108"	"431,376"	"413,772"	"336,937"	"415,529"	"422,912"	"417,308"	"174,390"	"375,579"	"413,995"	"406,867"	"4,630,903"	
Indian Point 3	"1,040"		"778,666"	"703,950"	"248,425"	"356,378"	"669,673"	"427,728"	"776,227"	"676,596"	"751,640"	"779,477"	"755,968"	"778,970"	"7,703,698"	
NORTH CAROLINA	"4,958"		"3,836,509"	"3,416,556"	"3,110,997"	"2,708,468"	"3,467,846"	"3,589,042"	"3,747,414"	"3,687,592"	"2,454,766"	"3,418,207"	"3,576,786"	"3,833,528"	"40,847,711"	
Brunswick 1	938		"719,187"	"630,842"	"703,593"	"691,620"	"703,953"	"679,293"	"697,753"	"679,296"	"445,366"	"673,715"	"687,861"	"710,188"	"8,022,667"	
Brunswick 2	920		"696,451"	"604,133"	"-3,057"	"8,812"	"613,351"	"611,706"	"693,644"	"686,770"	"449,456"	"663,363"	"676,898"	"705,613"	"6,407,140"	
Shearon Harris 1	900		"693,809"	"624,890"	"688,165"	"342,241"	"441,456"	"659,020"	"680,311"	"678,090"	"657,569"	"689,492"	"551,057"	"697,061"	"7,403,161"	
McGuire 1	"1,100"		"862,450"	"776,066"	"859,540"	"832,272"	"852,705"	"816,675"	"834,861"	"828,801"	"806,015"	"846,623"	"826,107"	"856,963"	"9,999,078"	
McGuire 2	"1,100"		"864,612"	"780,625"	"862,756"	"833,523"	"856,381"	"822,348"	"840,845"	"814,635"	"96,360"	"545,014"	"834,863"	"863,703"	"9,015,665"	
OHIO	"2,134"		"1,629,529"	"1,275,576"	"674,111"	"253,772"	"1,072,577"	"1,329,648"	"1,583,520"	"1,602,655"	"1,558,411"	"1,122,175"	"1,472,481"	"1,631,629"	"15,206,084"	
Perry 1	"1,240"		"944,877"	"657,957"	"-6,802"	"-10,609"	"392,649"	"676,761"	"907,675"	"928,035"	"904,217"	"440,263"	"812,520"	"948,929"	"7,596,472"	
Davis-Besse	894		"684,652"	"617,619"	"680,913"	"264,381"	"679,928"	"652,887"	"675,845"	"674,620"	"654,194"	"681,912"	"659,961"	"682,700"	"7,609,612"	
PENNSYLVANIA	"9,455"		"6,969,890"	"6,443,371"	"6,765,465"	"5,552,924"	"6,025,674"	"6,827,352"	"7,041,046"	"6,952,008"	"6,287,882"	"6,156,462"	"5,745,836"	"6,559,776"	"77,327,686"	
Peach Bottom 2	"1,122"		"851,210"	"755,890"	"853,156"	"810,347"	"851,322"	"818,545"	"840,468"	"836,039"	"804,673"	"849,892"	"826,529"	"843,665"	"9,941,736"	
Peach Bottom 3	"1,112"		"624,651"	"765,426"	"806,759"	"816,555"	"818,468"	"800,346"	"819,743"	"774,471"	"290,581"	"471,796"	"825,982"	"853,315"	"8,668,093"	
Beaver Valley 1	892		"682,850"	"615,784"	"679,973"	"387,088"	"193,442"	"651,093"	"671,288"	"662,933"	"652,547"	"679,681"	"658,560"	"682,245"	"7,217,484"	
Beaver Valley 2	885		"675,036"	"600,239"	"674,613"	"650,789"	"667,859"	"643,556"	"663,867"	"659,169"	"644,847"	"221,012"	"31,104"	"661,870"	"6,793,961"	
Susquehanna 1	"1,185"		"904,413"	"822,545"	"904,595"	"859,333"	"870,602"	"852,104"	"878,718"	"873,751"	"850,256"	"893,047"	"873,873"	"892,293"	"10,475,530"	
Susquehanna 2	"1,190"		"867,414"	"780,150"	"822,094"	"145,012"	"317,603"	"837,670"	"878,089"	"871,679"	"844,134"	"890,753"	"865,602"	"890,927"	"9,011,127"	
Limerick 1	"1,130"		"869,939"	"784,062"	"860,034"	"827,350"	"844,311"	"814,769"	"838,238"	"831,110"	"797,038"	"854,827"	"831,797"	"865,968"	"10,019,443"	
Limerick 2	"1,134"		"861,778"	"747,877"	"536,456"	"454,785"	"848,201"	"816,110"	"839,813"	"835,008"	"810,298"	"856,492"	"835,092"	"869,493"	"9,311,403"	
Three Mile Island 1	805		"632,599"	"571,398"	"627,785"	"601,665"	"613,866"	"593,159"	"610,822"	"607,848"	"593,508"	"438,962"	"-2,703"	0	"5,888,909"	
SOUTH CAROLINA	"6,486"		"4,991,936"	"4,503,064"	"4,261,584"	"4,096,759"	"4,424,657"	"4,752,176"	"4,891,267"	"4,864,969"	"4,679,982"	"3,808,681"	"2,733,043"	"4,141,616"	"52,149,734"	
H.B. Robinson 2	724		"568,589"	"513,513"	"566,438"	"504,260"	"555,017"	"526,657"	"543,523"	"542,487"	"530,671"	"552,952"	"503,638"	"565,446"	"6,473,191"	
Oconee 1	846		"644,728"	"582,232"	"643,180"	"621,702"	"641,011"	"617,255"	"632,539"	"626,103"	"559,974"	"180,371"	"-6,093"	"567,553"	"6,310,555"	
Oconee 2	846		"654,829"	"592,179"	"653,674"	"632,191"	"649,715"	"627,383"	"641,918"	"635,219"	"612,950"	"641,030"	"619,565"	"646,335"	"7,606,988"	
Oconee 3	846		"652,107"	"589,129"	"650,280"	"502,708"	"131,433"	"625,776"	"643,633"	"637,838"	"617,836"	"644,223"	"629,113"	"650,618"	"6,974,694"	
Catawba 1	"1,129"		"870,821"	"784,164"	"862,972"	"832,925"	"857,316"	"824,524"	"853,457"	"849,821"	"826,771"	"857,192"	"149,288"	"432,789"	"9,002,040"	
Catawba 2	"1,129"		"871,835"	"782,884"	"154,915"	"296,037"	"862,416"	"830,629"	"856,398"	"855,242"	"831,874"	"862,837"	"837,532"	"867,624"	"8,910,223"	
Summer	966		"729,027"	"658,963"	"730,125"	"706,936"	"727,749"	"699,952"	"719,799"	"718,259"	"699,906"	"70,076"	0	"411,251"	"6,872,043"	
TENNESSEE	"3,401"		"2,618,785"	"2,361,234"	"2,279,861"	"1,662,374"	"2,308,493"	"2,430,578"	"2,499,913"	"2,504,640"	"2,160,357"	"1,802,682"	"1,743,369"	"2,589,715"	"26,962,001"	
Sequoyah 1	"1,152"		"877,438"	"792,149"	"708,181"	0	"708,113"	"813,571"	"837,311"	"841,201"	"819,896"	"852,205"	"846,398"	"865,712"	"8,962,175"	
Sequoyah 2	"1,126"		"863,074"	"777,733"	"740,037"	"821,378"	"742,931"	"801,392"	"820,792"	"825,239"	"805,581"	"678,295"	"64,265"	"851,644"	"8,792,361"	
Watts Bar 1	"1,123"		"878,273"	"791,352"	"831,643"	"840,996"	"857,449"	"815,615"	"841,810"	"838,200"	"534,880"	"272,182"	"832,706"	"872,359"	"9,207,465"	
TEXAS	"4,927"		"3,816,155"	"3,433,563"	"3,787,666"	"3,662,721"	"3,647,514"	"3,605,784"	"3,704,741"	"3,707,259"	"3,204,370"	"2,067,734"	"3,013,642"	"3,846,468"	"41,497,617"	
Comanche Peak 1	"1,209"		"915,220"	"826,205"	"912,646"	"883,289"	"854,499"	"875,500"	"899,887"	"900,421"	"875,294"	"909,455"	"875,123"	"913,327"	"10,640,866"	
Comanche Peak 2	"1,158"		"874,826"	"790,577"	"873,107"	"845,790"	"816,573"	"837,024"	"859,454"	"861,165"	"837,172"	"170,362"	"824,475"	"910,078"	"9,500,603"	
South Texas Project 1	"1,280"		"1,012,769"	"910,676"	"1,002,865"	"968,344"	"989,681"	"948,011"	"973,325"	"973,938"	"923,315"	0	"340,693"	"1,008,616"	"10,052,233"	
South Texas Project 2	"1,280"		"1,013,340"	"906,105"	"999,048"	"965,298"	"986,761"	"945,249"	"972,075"	"971,735"	"568,589"	"987,917"	"973,351"	"1,014,447"	"11,303,915"	
VERMONT	620		"449,448"	"419,364"	"466,954"	"452,122"	"456,763"	"414,275"	"453,608"	"444,490"	"439,241"	"463,967"	"433,515"	"466,861"	"5,360,608"	
Vermont Yankee 1	620		"449,448"	"419,364"	"466,954"	"452,122"	"456,763"	"414,275"	"453,608"	"444,490"	"439,241"	"463,967"	"433,515"	"466,861"	"5,360,608"	
VIRGINIA	"3,404"		"2,570,743"	"2,321,942"	"2,040,547"	"2,208,110"	"2,318,736"	"2,469,251"	"2,542,385"	"2,533,312"	"2,467,519"	"2,375,789"	"1,902,666"	"2,461,252"	"28,212,252"	
Surry 1	799		"602,829"	"544,680"	"602,783"	"348,311"	"369,909"	"578,804"	"596,176"	"593,658"	"577,778"	"600,064"	"581,218"	"601,137"	"6,597,347"	
Surry 2	799		"605,116"	"546,055"	"604,676"	"585,025"	"601,659"	"579,904"	"597,292"	"594,066"	"579,603"	"548,841"	108	"569,950"	"6,412,295"	
North Anna 1	903		"681,901"	"616,048"	"152,142"	"616,351"	"682,837"	"656,542"	"675,142"	"673,279"	"656,170"	"548,106"	"662,230"	"681,751"	"7,302,499"	
North Anna 2	903		"680,897"	"615,159"	"680,946"	"658,423"	"664,331"	"654,001"	"673,775"	"672,309"	"653,968"	"678,778"	"659,110"	"608,414"	"7,900,111"	
WASHINGTON	"1,131"		"804,901"	"593,407"	"821,820"	"709,683"	"167,382"	"19,858"	"695,488"	"105,617"	"547,254"	"721,340"	"612,921"	"834,343"	"6,634,014"	
Columbia Generating Sta.	"1,131"		"804,901"	"593,407"	"821,820"	"709,683"	"167,382"	"19,858"	"695,488"	"105,617"	"547,254"	"721,340"	"612,921"	"834,343"	"6,634,014"	
WISCONSIN	"1,583"		"1,184,619"	"1,073,149"	"1,186,963"	"1,097,990"	"1,118,347"	"1,143,105"	"1,175,686"	"1,175,758"	"1,042,560"	"649,091"	"738,723"	"1,097,160"	"12,683,151"	
Point Beach 1	512		"381,373"	"345,921"	"383,076"	"371,130"	"332,816"	"368,530"	"379,202"	"379,491"	"357,522"	"376,841"	"327,645"	"381,835"	"4,385,382"	
Point Beach 2	515		"381,875"	"345,100"	"382,267"	"370,950"	"364,101"	"367,971"	"378,343"	"379,008"	"356,748"	"166,754"	0	"289,334"	"3,782,451"	
Kewaunee	556		"421,371"	"382,128"	"421,620"	"355,910"	"421,430"	"406,604"	"418,141"	"417,259"	"328,290"	"105,496"	"411,078"	"425,991"	"4,515,318"	
																
U.S. TOTAL	"101,004"		"74,102,489"	"64,227,211"	"67,240,567"	"59,408,407"	"65,395,452"	"69,734,736"	"72,948,979"	"72,244,597"	"65,751,794"	"58,020,927"	"59,069,208"	"70,710,218"	"798,854,585"	R
