"Monthly Nuclear Utility Generation by State and Reactor,  2008"															
January  through December 2008															
	Net														
Vogtle 2	"1,152"		"866,254"	"808,523"	"859,628"	"827,374"	"850,839"	"814,472"	"840,223"	"840,266"	"321,769"	"165,615"	"647,311"	"884,853"	"8,727,127"
Edwin I. Hatch 1	876		"653,638"	"46,372"	"145,500"	"627,981"	"655,584"	"623,382"	"550,904"	"654,025"	"599,591"	"655,031"	"558,015"	"663,719"	"6,433,742"
Edwin I. Hatch 2	883		"668,404"	"625,016"	"574,386"	"641,351"	"452,200"	"629,534"	"654,679"	"652,779"	"625,879"	"653,785"	"644,347"	"657,440"	"7,479,800"
ILLINOIS	"11,379"		"7,594,320"	"7,030,869"	"7,710,650"	"7,556,978"	"8,069,873"	"8,260,735"	"8,501,885"	"8,486,663"	"8,016,186"	"7,871,764"	"7,890,787"	"8,160,984"	"95,151,694"
Clinton	"1,043"		"250,571"	"545,163"	"800,267"	"775,024"	"798,451"	"770,414"	"794,643"	"794,021"	"767,565"	"798,612"	"775,841"	"679,331"	"8,549,903"
Dresden 2	867		"647,633"	"605,725"	"643,556"	"626,260"	"646,604"	"623,296"	"645,883"	"645,837"	"475,755"	"637,163"	"626,746"	"643,744"	"7,468,202"
Dresden 3	867		"437,913"	"606,120"	"646,105"	"626,594"	"646,155"	"625,363"	"645,919"	"638,026"	"617,229"	"571,689"	"205,297"	"650,233"	"6,916,643"
Quad Cities 1	867		"645,459"	"565,343"	"643,473"	"595,308"	"640,598"	"621,035"	"644,466"	"644,869"	"621,789"	"645,401"	"580,055"	"642,313"	"7,490,109"
Quad Cities 2	867		"644,076"	"590,039"	"36,294"	"614,073"	"646,588"	"626,776"	"646,035"	"639,910"	"621,339"	"639,461"	"627,068"	"402,932"	"6,734,591"
Braidwood 1	"1,178"		"857,385"	"822,306"	"898,207"	"867,483"	"894,534"	"853,727"	"877,374"	"877,276"	"854,130"	"894,244"	"869,100"	"897,178"	"10,462,944"
Braidwood 2	"1,152"		"873,906"	"791,743"	"874,159"	"539,056"	"358,614"	"831,138"	"854,083"	"852,740"	"830,670"	"868,323"	"847,105"	"801,675"	"9,323,212"
Byron 1	"1,164"		"886,795"	"829,923"	"649,419"	"420,548"	"883,691"	"847,574"	"869,921"	"873,407"	"848,725"	"882,199"	"856,052"	"885,108"	"9,733,362"
Byron 2	"1,136"		"869,128"	"811,702"	"865,261"	"835,340"	"861,084"	"828,912"	"855,049"	"856,110"	"829,508"	"302,863"	"840,801"	"868,406"	"9,624,164"
LaSalle County 1	"1,118"		"623,340"	"58,609"	"803,833"	"829,546"	"851,860"	"817,084"	"835,054"	"836,059"	"756,485"	"781,824"	"832,845"	"857,363"	"8,883,902"
LaSalle County 2	"1,120"		"858,114"	"804,196"	"850,076"	"827,746"	"841,694"	"815,416"	"833,458"	"828,408"	"792,991"	"849,985"	"829,877"	"832,701"	"9,964,662"
IOWA	580		"457,143"	"427,569"	"452,124"	"440,067"	"450,927"	"425,093"	"440,375"	"430,578"	"431,845"	"451,846"	"438,708"	"435,927"	"5,282,202"
Duane Arnold	580		"457,143"	"427,569"	"452,124"	"440,067"	"450,927"	"425,093"	"440,375"	"430,578"	"431,845"	"451,846"	"438,708"	"435,927"	"5,282,202"
KANSAS	"1,160"		"718,760"	"827,848"	"463,799"	"-8,726"	"437,666"	"846,724"	"870,912"	"865,376"	"847,526"	"883,317"	"858,061"	"885,897"	"8,497,160"
Wolf Creek 1	"1,160"		"718,760"	"827,848"	"463,799"	"-8,726"	"437,666"	"846,724"	"870,912"	"865,376"	"847,526"	"883,317"	"858,061"	"885,897"	"8,497,160"
LOUISIANA	"2,154"		"994,009"	"819,451"	"1,224,884"	"1,447,254"	"711,130"	"1,455,374"	"1,604,327"	"1,588,960"	"717,805"	"1,618,205"	"1,572,741"	"1,616,848"	"15,370,988"
Waterford 3	"1,176"		"883,274"	"827,583"	"882,461"	"735,144"	"-9,574"	"783,968"	"876,632"	"870,746"	"564,011"	"882,540"	"856,635"	"883,703"	"9,037,123"
River Bend 1	978		"110,735"	"-8,132"	"342,423"	"712,110"	"720,704"	"671,406"	"727,695"	"718,214"	"153,794"	"735,665"	"716,106"	"733,145"	"6,333,865"
MARYLAND	"1,735"		"1,315,326"	"1,069,745"	"976,840"	"1,262,420"	"1,292,113"	"1,231,842"	"1,242,086"	"1,235,296"	"1,213,153"	"1,273,123"	"1,261,192"	"1,305,559"	"14,678,695"
Calvert Cliffs 1	873		"662,589"	"462,340"	"330,767"	"637,893"	"654,157"	"619,566"	"625,190"	"623,427"	"616,853"	"641,248"	"633,940"	"657,301"	"7,165,271"
Calvert Cliffs 2	862		"652,737"	"607,405"	"646,073"	"624,527"	"637,956"	"612,276"	"616,896"	"611,869"	"596,300"	"631,875"	"627,252"	"648,258"	"7,513,424"
MASSACHUSETTS	685		"511,679"	"478,576"	"510,487"	"448,398"	"506,841"	"484,157"	"507,534"	"496,811"	"487,785"	"502,739"	"492,357"	"441,275"	"5,868,639"
Pilgrim 1	685		"511,679"	"478,576"	"510,487"	"448,398"	"506,841"	"484,157"	"507,534"	"496,811"	"487,785"	"502,739"	"492,357"	"441,275"	"5,868,639"
MICHIGAN	"3,969"		"2,990,704"	"2,679,581"	"2,885,792"	"2,181,498"	"2,956,442"	"2,873,955"	"2,936,382"	"2,698,571"	"2,611,446"	"2,232,573"	"2,182,789"	"2,254,695"	"31,484,428"
Palisades	778		"541,751"	"566,389"	"607,111"	"579,786"	"556,350"	"567,071"	"582,065"	"486,670"	"567,326"	"595,073"	"581,797"	"603,347"	"6,834,736"
Fermi 2	"1,122"		"824,333"	"686,950"	"832,186"	"801,333"	"823,695"	"782,492"	"808,543"	"812,034"	"783,971"	"825,617"	"803,232"	"829,020"	"9,613,406"
D.C. Cook 1	"1,009"		"812,778"	"652,170"	"617,827"	"7,728"	"792,653"	"747,647"	"760,865"	"757,497"	"490,521"	0	0	0	"5,639,686"
D.C. Cook 2	"1,060"		"811,842"	"774,072"	"828,668"	"792,651"	"783,744"	"776,745"	"784,909"	"642,370"	"769,628"	"811,883"	"797,760"	"822,328"	"9,396,600"
MINNESOTA	"1,668"		"1,250,736"	"926,481"	"908,766"	"1,187,894"	"1,209,154"	"1,158,307"	"1,179,174"	"1,165,082"	"779,814"	"836,406"	"1,152,037"	"1,242,987"	"12,996,838"
Monticello	572		"440,240"	"411,395"	"439,697"	"425,502"	"436,396"	"415,071"	"422,351"	"421,789"	"170,136"	"436,652"	"423,091"	"435,696"	"4,878,016"
Prairie Island 1	551		"406,183"	"136,801"	"74,310"	"381,922"	"386,128"	"370,060"	"372,171"	"357,498"	"380,298"	"399,754"	"390,597"	"403,735"	"4,059,457"
Prairie Island 2	545		"404,313"	"378,285"	"394,759"	"380,470"	"386,630"	"373,176"	"384,652"	"385,795"	"229,380"	0	"338,349"	"403,556"	"4,059,365"
MISSISSIPPI	"1,259"		"792,280"	"708,874"	"811,788"	"904,539"	"944,431"	"904,995"	"938,324"	"927,518"	"617,447"	"13,971"	"880,470"	"952,153"	"9,396,790"
Grand Gulf 1	"1,259"		"792,280"	"708,874"	"811,788"	"904,539"	"944,431"	"904,995"	"938,324"	"927,518"	"617,447"	"13,971"	"880,470"	"952,153"	"9,396,790"
MISSOURI	"1,190"		"919,838"	"861,555"	"897,258"	"880,210"	"904,505"	"861,545"	"878,976"	"889,454"	"869,370"	"281,840"	"579,384"	"554,694"	"9,378,629"
Callaway	"1,190"		"919,838"	"861,555"	"897,258"	"880,210"	"904,505"	"861,545"	"878,976"	"889,454"	"869,370"	"281,840"	"579,384"	"554,694"	"9,378,629"
NEBRASKA	"1,252"		"959,225"	"889,147"	"777,849"	"391,279"	"216,579"	"675,577"	"926,022"	"853,017"	"923,531"	"964,792"	"934,432"	"967,589"	"9,479,039"
Fort Calhoun	482		"377,615"	"352,566"	"257,523"	"219,354"	"-1,452"	"123,486"	"360,745"	"348,843"	"357,691"	"374,712"	"365,207"	"378,669"	"3,514,959"
Cooper	770		"581,610"	"536,581"	"520,326"	"171,925"	"218,031"	"552,091"	"565,277"	"504,174"	"565,840"	"590,080"	"569,225"	"588,920"	"5,964,080"
NEW HAMPSHIRE	"1,245"		"567,522"	"840,007"	"922,125"	0	"667,538"	"856,165"	"927,107"	"925,640"	"896,541"	"926,492"	"895,088"	"926,089"	"9,350,314"
Seabrook 1	"1,245"		"567,522"	"840,007"	"922,125"	0	"667,538"	"856,165"	"927,107"	"925,640"	"896,541"	"926,492"	"895,088"	"926,089"	"9,350,314"
NEW JERSEY	"4,108"		"2,894,204"	"2,765,982"	"2,319,237"	"1,969,459"	"2,557,550"	"2,929,131"	"3,006,167"	"3,038,804"	"2,930,356"	"2,450,708"	"2,264,399"	"3,068,801"	"32,194,798"
Oyster Creek 1	615		"424,201"	"400,430"	"422,238"	"356,828"	"459,296"	"434,294"	"442,550"	"449,651"	"437,727"	"326,548"	"121,372"	"388,870"	"4,664,005"
Salem 1	"1,174"		"853,080"	"825,442"	"838,924"	"844,147"	"874,438"	"838,918"	"852,442"	"857,218"	"826,932"	"381,228"	"455,611"	"879,033"	"9,327,413"
Salem 2	"1,158"		"859,116"	"796,848"	"257,629"	"-2,471"	"424,116"	"823,341"	"848,516"	"860,334"	"805,667"	"840,534"	"817,708"	"879,655"	"8,210,993"
Hope Creek 1	"1,161"		"757,807"	"743,262"	"800,446"	"770,955"	"799,700"	"832,578"	"862,659"	"871,601"	"860,030"	"902,398"	"869,708"	"921,243"	"9,992,387"
NEW YORK	"5,264"		"3,908,079"	"3,673,820"	"3,442,524"	"2,536,091"	"3,702,690"	"3,718,849"	"3,790,018"	"3,822,928"	"3,382,356"	"3,621,589"	"3,682,896"	"3,927,331"	"43,209,171"
Indian Point 2	"1,025"		"769,778"	"718,103"	"559,224"	"195,816"	"765,000"	"711,959"	"747,091"	"747,250"	"728,214"	"759,799"	"740,915"	"768,892"	"8,212,041"
Nine Mile Point 1	621		"468,389"	"435,164"	"467,168"	"451,342"	"456,259"	"433,743"	"446,308"	"445,719"	"435,846"	"393,461"	"448,132"	"465,168"	"5,346,699"
Nine Mile Point 2	"1,143"		"848,180"	"790,535"	"570,544"	"336,485"	"841,545"	"803,897"	"822,133"	"833,636"	"807,523"	"839,450"	"702,495"	"844,601"	"9,041,024"
James Fitzpatrick	854		"611,178"	"596,709"	"635,678"	"523,100"	"599,707"	"604,352"	"584,963"	"606,886"	"250,801"	"422,111"	"618,103"	"637,317"	"6,690,905"
Ginna	581		"431,274"	"403,434"	"430,630"	"274,251"	"261,037"	"413,782"	"419,771"	"418,979"	"410,902"	"428,998"	"417,387"	"432,381"	"4,742,826"
Indian Point 3	"1,040"		"779,280"	"729,875"	"779,280"	"755,097"	"779,142"	"751,116"	"769,752"	"770,458"	"749,070"	"777,770"	"755,864"	"778,972"	"9,175,676"
NORTH CAROLINA	"4,958"		"3,831,924"	"3,569,590"	"2,465,238"	"2,497,077"	"3,789,742"	"3,518,034"	"3,733,367"	"3,460,201"	"3,232,727"	"2,948,204"	"2,895,224"	"3,834,952"	"39,776,280"
Brunswick 1	938		"713,800"	"649,397"	"286,778"	"7,406"	"704,958"	"686,283"	"707,636"	"702,990"	"689,112"	"716,845"	"452,952"	"712,475"	"7,030,632"
Brunswick 2	920		"705,183"	"662,926"	"638,070"	"676,182"	"697,370"	"662,438"	"691,106"	"658,231"	"566,245"	"699,951"	"491,759"	"704,777"	"7,854,238"
Shearon Harris 1	900		"692,158"	"644,233"	"684,058"	"661,179"	"679,592"	"648,293"	"672,513"	"436,426"	"656,281"	"686,147"	"668,900"	"691,631"	"7,821,411"
McGuire 1	"1,100"		"857,923"	"805,167"	"856,305"	"826,387"	"849,045"	"700,289"	"823,347"	"827,576"	"507,017"	"-7,673"	"449,236"	"862,111"	"8,356,730"
McGuire 2	"1,100"		"862,860"	"807,867"	27	"325,923"	"858,777"	"820,731"	"838,765"	"834,978"	"814,072"	"852,934"	"832,377"	"863,958"	"8,713,269"
OHIO	"2,124"		"945,398"	"1,189,114"	"1,549,477"	"1,236,072"	"1,609,183"	"1,511,250"	"1,589,386"	"1,603,264"	"1,544,870"	"1,633,055"	"1,576,724"	"1,526,085"	"17,513,878"
Perry 1	"1,245"		"951,553"	"891,180"	"886,866"	"598,092"	"940,362"	"880,150"	"921,451"	"928,586"	"890,697"	"950,446"	"914,227"	"936,983"	"10,690,593"
Davis-Besse	879		"-6,155"	"297,934"	"662,611"	"637,980"	"668,821"	"631,100"	"667,935"	"674,678"	"654,173"	"682,609"	"662,497"	"589,102"	"6,823,285"
PENNSYLVANIA	"9,337"		"7,092,039"	"6,078,158"	"5,650,457"	"5,938,256"	"6,562,836"	"6,745,484"	"6,940,699"	"6,871,641"	"6,216,419"	"6,437,736"	"6,936,116"	"7,188,252"	"78,658,093"
Peach Bottom 2	"1,112"		"838,126"	"795,478"	"848,627"	"815,994"	"831,812"	"802,010"	"798,970"	"732,760"	"293,636"	"276,638"	"828,290"	"854,267"	"8,716,608"
Peach Bottom 3	"1,112"		"849,405"	"678,096"	"848,230"	"820,086"	"836,121"	"810,521"	"832,342"	"834,972"	"803,089"	"840,186"	"819,131"	"845,996"	"9,818,175"
Beaver Valley 1	892		"682,171"	"606,063"	"667,047"	"655,921"	"677,204"	"647,844"	"666,932"	"671,201"	"650,941"	"679,029"	"658,685"	"681,900"	"7,944,938"
Beaver Valley 2	846		"646,210"	"605,312"	"646,754"	"255,348"	"115,297"	"636,425"	"659,645"	"662,478"	"605,618"	"566,832"	"652,227"	"674,052"	"6,726,198"
Susquehanna 1	"1,185"		"862,093"	"799,404"	"80,079"	"313,259"	"878,072"	"828,297"	"868,130"	"833,498"	"852,863"	"895,802"	"868,584"	"903,730"	"8,983,811"
Susquehanna 2	"1,140"		"869,573"	"810,863"	"862,551"	"821,938"	"856,870"	"806,955"	"834,911"	"838,954"	"809,897"	"855,860"	"825,303"	"862,328"	"10,056,003"
Limerick 1	"1,130"		"841,958"	"726,754"	"201,221"	"829,554"	"883,691"	"811,086"	"834,924"	"840,925"	"813,597"	"857,535"	"837,081"	"867,168"	"9,345,494"
Limerick 2	"1,134"		"868,024"	"462,199"	"864,062"	"819,990"	"861,084"	"808,647"	"833,060"	"840,862"	"795,587"	"845,440"	"836,249"	"866,564"	"9,701,768"
Three Mile Island 1	786		"634,479"	"593,989"	"631,886"	"606,166"	"622,685"	"593,699"	"611,785"	"615,991"	"591,191"	"620,414"	"610,566"	"632,247"	"7,365,098"
SOUTH CAROLINA	"6,472"		"4,811,363"	"4,627,178"	"4,777,378"	"4,170,942"	"2,751,775"	"3,766,955"	"4,884,663"	"4,862,402"	"4,523,909"	"4,227,190"	"3,712,863"	"4,646,332"	"51,762,950"
H.B. Robinson 2	710		"564,514"	"528,053"	"552,687"	"541,202"	"554,155"	"524,773"	"538,858"	"536,268"	"423,082"	"-1,964"	"141,211"	"524,457"	"5,427,296"
Oconee 1	846		"643,529"	"599,994"	"470,874"	"164,345"	"-7,373"	"578,828"	"632,744"	"626,744"	"607,983"	"634,128"	"619,758"	"643,872"	"6,215,426"
Oconee 2	846		"651,945"	"608,596"	"640,543"	"583,085"	"643,825"	"623,299"	"637,092"	"631,066"	"514,880"	"491,326"	"-1,949"	"366,859"	"6,390,567"
Oconee 3	846		"651,436"	"611,313"	"652,309"	"631,889"	"651,664"	"627,213"	"642,061"	"635,900"	"616,380"	"643,873"	"561,702"	"649,368"	"7,575,108"
Catawba 1	"1,129"		"869,260"	"812,381"	"864,429"	"836,867"	"49,955"	"230,023"	"854,146"	"854,975"	"828,842"	"866,423"	"843,751"	"862,244"	"8,773,296"
Catawba 2	"1,129"		"873,688"	"815,149"	"868,655"	"838,806"	"859,549"	"824,660"	"856,678"	"855,660"	"832,260"	"865,936"	"841,931"	"870,184"	"10,203,156"
Summer	966		"556,991"	"651,692"	"727,881"	"574,748"	0	"358,159"	"723,084"	"721,789"	"700,482"	"727,468"	"706,459"	"729,348"	"7,178,101"
TENNESSEE	"3,397"		"2,552,431"	"1,888,505"	"1,855,349"	"2,456,184"	"1,529,165"	"2,294,457"	"2,518,826"	"2,220,599"	"2,305,545"	"2,575,317"	"2,215,301"	"2,617,938"	"27,029,617"
Sequoyah 1	"1,148"		"813,318"	"818,537"	"873,506"	"845,040"	"862,205"	"832,788"	"848,824"	"848,284"	"845,702"	"853,882"	"845,304"	"877,411"	"10,164,801"
Sequoyah 2	"1,126"		"865,852"	"808,068"	"861,654"	"773,355"	"85,192"	"671,463"	"832,792"	"808,986"	"793,745"	"861,163"	"525,834"	"864,403"	"8,752,507"
Watts Bar 1	"1,123"		"873,261"	"261,900"	"120,189"	"837,789"	"581,768"	"790,206"	"837,210"	"563,329"	"666,098"	"860,272"	"844,163"	"876,124"	"8,112,309"
TEXAS	"4,927"		"3,778,388"	"3,447,990"	"3,477,022"	"2,182,905"	"3,735,688"	"3,585,374"	"3,692,336"	"3,689,640"	"3,437,982"	"2,352,018"	"3,530,697"	"3,817,330"	"40,727,370"
Comanche Peak 1	"1,209"		"874,729"	"733,286"	"872,420"	"843,447"	"869,240"	"836,727"	"860,005"	"859,582"	"719,068"	"391,493"	"884,228"	"914,485"	"9,658,710"
Comanche Peak 2	"1,158"		"875,910"	"820,452"	"747,222"	"279,814"	"869,640"	"837,576"	"862,323"	"861,315"	"835,896"	"869,450"	"841,789"	"874,524"	"9,575,911"
South Texas Project 1	"1,280"		"1,012,752"	"946,554"	"848,366"	"89,087"	"998,223"	"956,224"	"985,812"	"985,019"	"960,002"	"994,192"	"977,155"	"1,013,350"	"10,766,736"
South Texas Project 2	"1,280"		"1,014,997"	"947,698"	"1,009,014"	"970,557"	"998,585"	"954,847"	"984,196"	"983,724"	"923,016"	"96,883"	"827,525"	"1,014,971"	"10,726,013"
VERMONT	620		"466,966"	"435,128"	"457,370"	"421,705"	"454,881"	"426,840"	"353,682"	"450,462"	"416,093"	"254,854"	"296,627"	"460,445"	"4,895,053"
Vermont Yankee 1	620		"466,966"	"435,128"	"457,370"	"421,705"	"454,881"	"426,840"	"353,682"	"450,462"	"416,093"	"254,854"	"296,627"	"460,445"	"4,895,053"
VIRGINIA	"3,404"		"2,526,186"	"2,232,490"	"2,566,865"	"2,289,266"	"2,151,869"	"2,460,663"	"2,534,859"	"2,536,718"	"2,089,357"	"1,786,176"	"2,184,270"	"2,572,045"	"27,930,764"
Surry 1	799		"603,229"	"563,355"	"603,070"	"477,734"	"598,486"	"577,446"	"595,324"	"594,756"	"577,916"	"512,783"	"582,880"	"603,523"	"6,890,502"
Surry 2	799		"605,791"	"565,203"	"604,691"	"494,845"	"195,491"	"579,087"	"596,924"	"596,266"	"576,657"	"600,649"	"585,924"	"605,309"	"6,606,837"
North Anna 1	903		"681,457"	"636,729"	"680,832"	"659,998"	"680,321"	"653,717"	"672,655"	"674,130"	"654,123"	"672,744"	"639,410"	"680,713"	"7,986,829"
North Anna 2	903		"635,709"	"467,203"	"678,272"	"656,689"	"677,571"	"650,413"	"669,956"	"671,566"	"280,661"	0	"376,056"	"682,500"	"6,446,596"
WASHINGTON	"1,131"		"822,189"	"781,476"	"805,559"	"802,816"	"751,934"	"712,652"	"802,249"	"718,798"	"789,085"	"821,604"	"632,563"	"828,714"	"9,269,639"
Columbia Generating Sta.	"1,131"		"822,189"	"781,476"	"805,559"	"802,816"	"751,934"	"712,652"	"802,249"	"718,798"	"789,085"	"821,604"	"632,563"	"828,714"	"9,269,639"
WISCONSIN	"1,582"		"1,003,811"	"1,065,668"	"1,149,153"	"426,997"	"881,058"	"1,149,288"	"1,184,138"	"1,140,880"	"1,136,857"	"850,879"	"978,549"	"1,187,232"	"12,154,510"
Point Beach 1	510		"192,381"	"305,014"	"382,532"	"369,419"	"374,653"	"366,701"	"378,364"	"369,764"	"363,320"	"46,224"	"193,702"	"381,508"	"3,723,582"
Point Beach 2	516		"387,786"	"362,746"	"387,502"	"57,578"	"222,633"	"371,916"	"381,269"	"372,178"	"364,776"	"381,703"	"372,601"	"380,945"	"4,043,633"
Kewaunee	556		"423,644"	"397,908"	"379,119"	0	"283,772"	"410,671"	"424,505"	"398,938"	"408,761"	"422,952"	"412,246"	"424,779"	"4,387,295"
															
U.S. TOTAL	"100,755"		"70,734,570"	"65,130,385"	"64,716,468"	"57,332,716"	"64,825,901"	"70,319,366"	"74,318,270"	"72,617,066"	"67,053,867"	"62,820,353"	"63,408,145"	"72,931,328"	"806,208,435"
